student_id,age,prior_gpa,study_hours,self_efficacy,instructional_format,employment_status,exam_score,completion_status,simulation_influential_case
S001,35,2.69,3.9,13.8,Face-to-face,Not employed,64.8,Did not complete,0
S002,27,3.1,11.8,34.8,Online,Part-time,94.7,Completed,0
S003,25,3.9,2.6,39.0,Online,Part-time,56.0,Did not complete,1
S004,33,3.36,14.0,29.3,Online,Not employed,98.0,Did not complete,0
S005,20,2.92,7.0,24.2,Hybrid,Part-time,80.8,Did not complete,0
S006,32,2.46,8.9,28.4,Face-to-face,Part-time,78.4,Completed,0
S007,31,2.94,2.4,19.1,Online,Not employed,68.5,Did not complete,0
S008,36,2.93,9.1,29.0,Face-to-face,Not employed,100.0,Completed,0
S009,30,3.82,10.6,27.9,Face-to-face,Full-time,88.2,Did not complete,0
S010,20,2.53,8.4,29.1,Face-to-face,Part-time,88.3,Completed,0
S011,29,2.69,13.3,26.6,Online,Part-time,79.8,Did not complete,0
S012,38,3.27,9.9,31.4,Hybrid,Part-time,92.9,Did not complete,0
S013,49,3.4,8.4,27.1,Face-to-face,Full-time,87.9,Completed,0
S014,40,1.71,4.8,27.3,Hybrid,Not employed,74.5,Did not complete,0
S015,22,2.84,9.6,34.3,Face-to-face,Not employed,100.0,Completed,0
S016,25,2.82,5.9,26.3,Face-to-face,Part-time,78.8,Did not complete,0
S017,41,1.98,5.4,33.2,Online,Part-time,78.5,Did not complete,0
S018,31,2.84,7.7,27.5,Hybrid,Not employed,83.2,Did not complete,0
S019,30,2.77,12.4,24.7,Face-to-face,Not employed,100.0,Completed,0
S020,54,2.62,8.1,25.2,Hybrid,Part-time,85.3,Completed,0
S021,39,2.44,3.6,34.8,Face-to-face,Part-time,79.7,Did not complete,0
S022,40,3.44,4.9,28.3,Face-to-face,Part-time,91.9,Did not complete,0
S023,43,2.91,9.6,34.5,Face-to-face,Not employed,88.2,Did not complete,0
S024,34,2.72,8.8,29.1,Hybrid,Part-time,80.9,Did not complete,0
S025,28,1.3,24.0,14.0,Hybrid,Full-time,88.0,Completed,1
S026,31,2.6,9.3,28.2,Face-to-face,Not employed,80.8,Did not complete,0
S027,26,2.75,11.9,22.6,Face-to-face,Part-time,97.6,Completed,0
S028,42,3.9,2.2,39.0,Online,Not employed,55.0,Did not complete,1
