student_id,age,prior_gpa,study_hours,self_efficacy,instructional_format,employment_status,exam_score,completion_status,r_prior_gpa,r_study_hours,r_self_efficacy,r_exam_score
S001,35,2.69,3.9,13.8,Face-to-face,Not employed,64.8,Did not complete,1,1,1,1
S002,27,3.1,11.8,34.8,Online,Part-time,94.7,Completed,1,1,1,1
S003,25,3.9,2.6,39.0,Online,Part-time,,Did not complete,1,1,1,0
S004,33,3.36,14.0,,Online,Not employed,98.0,Did not complete,1,1,0,1
S005,20,2.92,7.0,24.2,Hybrid,Part-time,80.8,Did not complete,1,1,1,1
S006,32,2.46,8.9,,Face-to-face,Part-time,78.4,Completed,1,1,0,1
S007,31,2.94,2.4,19.1,Online,Not employed,68.5,Did not complete,1,1,1,1
S008,36,2.93,9.1,29.0,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S009,30,3.82,10.6,27.9,Face-to-face,Full-time,88.2,Did not complete,1,1,1,1
S010,20,2.53,8.4,29.1,Face-to-face,Part-time,88.3,Completed,1,1,1,1
S011,29,2.69,13.3,26.6,Online,Part-time,79.8,Did not complete,1,1,1,1
S012,38,3.27,9.9,31.4,Hybrid,Part-time,92.9,Did not complete,1,1,1,1
S013,49,3.4,8.4,27.1,Face-to-face,Full-time,87.9,Completed,1,1,1,1
S014,40,1.71,4.8,27.3,Hybrid,Not employed,74.5,Did not complete,1,1,1,1
S015,22,2.84,9.6,34.3,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S016,25,2.82,5.9,26.3,Face-to-face,Part-time,78.8,Did not complete,1,1,1,1
S017,41,1.98,5.4,33.2,Online,Part-time,78.5,Did not complete,1,1,1,1
S018,31,2.84,7.7,27.5,Hybrid,Not employed,83.2,Did not complete,1,1,1,1
S019,30,2.77,12.4,24.7,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S020,54,2.62,8.1,25.2,Hybrid,Part-time,85.3,Completed,1,1,1,1
S021,39,2.44,3.6,34.8,Face-to-face,Part-time,79.7,Did not complete,1,1,1,1
S022,40,3.44,4.9,28.3,Face-to-face,Part-time,91.9,Did not complete,1,1,1,1
S023,43,2.91,9.6,34.5,Face-to-face,Not employed,88.2,Did not complete,1,1,1,1
S024,34,2.72,8.8,29.1,Hybrid,Part-time,80.9,Did not complete,1,1,1,1
S025,28,1.3,24.0,14.0,Hybrid,Full-time,88.0,Completed,1,1,1,1
S026,31,2.6,9.3,28.2,Face-to-face,Not employed,80.8,Did not complete,1,1,1,1
S027,26,2.75,11.9,22.6,Face-to-face,Part-time,97.6,Completed,1,1,1,1
S028,42,3.9,2.2,39.0,Online,Not employed,55.0,Did not complete,1,1,1,1
S029,34,2.96,12.2,21.8,Face-to-face,Not employed,83.7,Completed,1,1,1,1
S030,24,2.6,,36.4,Face-to-face,Not employed,73.1,Did not complete,1,0,1,1
S031,34,2.71,4.7,31.3,Face-to-face,Not employed,76.1,Did not complete,1,1,1,1
S032,27,1.45,26.0,15.0,Online,Not employed,91.0,Did not complete,1,1,1,1
S033,27,2.87,5.0,,Hybrid,Part-time,76.2,Completed,1,1,0,1
S034,28,4.0,5.0,,Face-to-face,Not employed,86.1,Did not complete,1,1,0,1
S035,20,2.28,0.5,23.7,Hybrid,Part-time,64.0,Did not complete,1,1,1,1
S036,28,3.73,7.6,30.9,Hybrid,Part-time,100.0,Did not complete,1,1,1,1
S037,43,3.08,6.3,22.4,Face-to-face,Full-time,,Did not complete,1,1,1,0
S038,29,2.46,9.3,27.7,Face-to-face,Not employed,87.7,Completed,1,1,1,1
S039,40,3.21,7.7,27.8,Online,Part-time,88.4,Did not complete,1,1,1,1
S040,34,3.0,12.7,31.2,Face-to-face,Not employed,96.0,Completed,1,1,1,1
S041,44,2.86,5.0,23.0,Face-to-face,Not employed,76.9,Did not complete,1,1,1,1
S042,34,3.14,6.3,22.8,Face-to-face,Not employed,82.4,Completed,1,1,1,1
S043,36,2.72,3.1,28.0,Face-to-face,Not employed,77.9,Did not complete,1,1,1,1
S044,29,2.83,0.5,20.2,Face-to-face,Part-time,46.9,Did not complete,1,1,1,1
S045,33,,7.5,27.2,Online,Part-time,86.7,Completed,0,1,1,1
S046,31,3.32,4.5,24.7,Face-to-face,Not employed,78.1,Did not complete,1,1,1,1
S047,25,2.86,2.4,28.0,Hybrid,Part-time,67.3,Did not complete,1,1,1,1
S048,35,3.05,13.0,30.3,Face-to-face,Full-time,94.3,Completed,1,1,1,1
S049,27,2.87,7.2,37.6,Hybrid,Not employed,100.0,Did not complete,1,1,1,1
S050,35,3.04,14.9,25.1,Hybrid,Part-time,95.7,Did not complete,1,1,1,1
S051,24,3.05,12.6,30.0,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S052,28,3.3,5.6,29.0,Online,Not employed,73.1,Did not complete,1,1,1,1
S053,27,2.8,7.3,31.4,Online,Not employed,79.6,Completed,1,1,1,1
S054,36,2.44,11.8,29.6,Face-to-face,Part-time,95.4,Did not complete,1,1,1,1
S055,22,2.61,7.0,38.0,Online,Part-time,90.2,Completed,1,1,1,1
S056,38,2.96,9.1,,Online,Part-time,89.3,Completed,1,1,0,1
S057,32,3.22,15.3,33.4,Online,Not employed,100.0,Completed,1,1,1,1
S058,31,2.76,12.1,18.3,Online,Not employed,94.0,Did not complete,1,1,1,1
S059,36,2.02,5.1,,Hybrid,Not employed,73.8,Did not complete,1,1,0,1
S060,39,3.98,8.7,32.6,Online,Full-time,100.0,Completed,1,1,1,1
S061,39,2.77,5.2,24.0,Online,Not employed,71.1,Did not complete,1,1,1,1
S062,28,3.18,10.8,21.9,Online,Part-time,90.8,Completed,1,1,1,1
S063,29,2.82,10.6,21.4,Face-to-face,Full-time,80.4,Did not complete,1,1,1,1
S064,42,3.54,12.1,25.7,Face-to-face,Not employed,94.3,Completed,1,1,1,1
S065,20,3.17,6.1,24.2,Online,Part-time,79.7,Did not complete,1,1,1,1
S066,40,2.54,9.1,27.2,Hybrid,Not employed,80.4,Completed,1,1,1,1
S067,40,2.5,4.3,20.5,Hybrid,Full-time,64.4,Did not complete,1,1,1,1
S068,38,2.81,2.9,34.4,Face-to-face,Part-time,75.6,Did not complete,1,1,1,1
S069,40,3.48,8.2,27.6,Hybrid,Not employed,83.0,Did not complete,1,1,1,1
S070,21,3.1,6.8,24.9,Online,Part-time,80.8,Did not complete,1,1,1,1
S071,38,3.57,4.3,33.6,Hybrid,Full-time,83.9,Completed,1,1,1,1
S072,37,2.88,6.0,19.3,Online,Full-time,68.3,Did not complete,1,1,1,1
S073,34,3.09,7.1,32.9,Face-to-face,Part-time,86.1,Did not complete,1,1,1,1
S074,22,3.4,11.6,24.4,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S075,40,3.02,15.3,26.4,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S076,43,1.35,12.7,20.5,Face-to-face,Part-time,84.9,Did not complete,1,1,1,1
S077,23,3.07,5.9,26.8,Online,Not employed,,Completed,1,1,1,0
S078,29,2.62,,20.3,Face-to-face,Part-time,62.6,Did not complete,1,0,1,1
S079,41,2.87,11.1,29.2,Face-to-face,Part-time,89.6,Completed,1,1,1,1
S080,20,3.3,7.6,36.3,Face-to-face,Not employed,94.5,Completed,1,1,1,1
S081,27,3.24,10.8,31.6,Face-to-face,Not employed,86.5,Completed,1,1,1,1
S082,32,3.33,,,Online,Full-time,84.0,Did not complete,1,0,0,1
S083,21,1.95,6.2,21.0,Hybrid,Full-time,76.1,Did not complete,1,1,1,1
S084,21,2.95,,19.0,Face-to-face,Part-time,90.4,Did not complete,1,0,1,1
S085,20,3.62,8.3,24.5,Online,Full-time,71.1,Completed,1,1,1,1
S086,36,3.56,9.5,,Online,Part-time,83.7,Did not complete,1,1,0,1
S087,20,3.32,7.1,26.8,Face-to-face,Not employed,88.0,Did not complete,1,1,1,1
S088,20,1.4,9.5,,Hybrid,Part-time,81.4,Completed,1,1,0,1
S089,24,,15.0,26.6,Online,Not employed,78.9,Completed,0,1,1,1
S090,55,2.75,15.6,21.5,Face-to-face,Full-time,92.5,Completed,1,1,1,1
S091,48,,4.8,25.8,Face-to-face,Full-time,79.0,Did not complete,0,1,1,1
S092,38,2.2,7.7,26.7,Online,Full-time,,Did not complete,1,1,1,0
S093,30,2.1,9.7,27.7,Face-to-face,Not employed,77.5,Did not complete,1,1,1,1
S094,23,3.5,7.2,,Hybrid,Full-time,87.2,Did not complete,1,1,0,1
S095,26,2.44,6.1,40.0,Face-to-face,Full-time,72.1,Did not complete,1,1,1,1
S096,20,,12.5,30.3,Face-to-face,Not employed,98.2,Completed,0,1,1,1
S097,33,1.65,,13.2,Hybrid,Full-time,50.7,Did not complete,1,0,1,1
S098,39,2.61,7.9,33.9,Hybrid,Not employed,96.9,Did not complete,1,1,1,1
S099,25,2.9,14.8,22.5,Face-to-face,Part-time,100.0,Completed,1,1,1,1
S100,32,2.96,4.2,32.8,Face-to-face,Not employed,84.1,Did not complete,1,1,1,1
S101,20,2.96,9.4,37.5,Face-to-face,Part-time,86.9,Completed,1,1,1,1
S102,33,1.85,6.8,26.8,Hybrid,Not employed,76.6,Did not complete,1,1,1,1
S103,20,3.73,12.8,36.8,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S104,40,3.67,13.2,26.2,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S105,20,3.61,8.9,29.9,Hybrid,Part-time,94.9,Did not complete,1,1,1,1
S106,33,3.1,10.2,28.8,Hybrid,Not employed,82.0,Did not complete,1,1,1,1
S107,20,3.25,4.2,27.8,Face-to-face,Part-time,79.6,Did not complete,1,1,1,1
S108,31,1.46,3.8,15.1,Face-to-face,Not employed,,Did not complete,1,1,1,0
S109,39,2.63,12.9,25.3,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S110,34,2.66,4.9,27.2,Face-to-face,Part-time,77.9,Did not complete,1,1,1,1
S111,40,2.67,6.5,34.6,Online,Not employed,82.8,Did not complete,1,1,1,1
S112,39,2.87,6.8,27.6,Online,Part-time,86.9,Completed,1,1,1,1
S113,25,,,22.7,Face-to-face,Part-time,65.5,Did not complete,0,0,1,1
S114,38,3.15,9.4,26.0,Online,Full-time,85.0,Did not complete,1,1,1,1
S115,35,2.5,10.4,24.0,Hybrid,Not employed,89.9,Completed,1,1,1,1
S116,20,2.43,6.9,25.5,Face-to-face,Part-time,82.4,Did not complete,1,1,1,1
S117,39,3.42,13.5,,Hybrid,Part-time,100.0,Completed,1,1,0,1
S118,33,3.09,9.9,24.8,Hybrid,Part-time,92.5,Completed,1,1,1,1
S119,36,3.8,25.0,38.0,Hybrid,Not employed,63.0,Did not complete,1,1,1,1
S120,37,2.89,4.1,34.9,Face-to-face,Not employed,77.4,Did not complete,1,1,1,1
S121,29,3.17,5.1,13.8,Face-to-face,Not employed,82.1,Completed,1,1,1,1
S122,33,3.67,4.3,33.0,Face-to-face,Part-time,85.3,Did not complete,1,1,1,1
S123,30,3.54,9.0,29.1,Hybrid,Not employed,100.0,Did not complete,1,1,1,1
S124,31,2.51,6.1,23.4,Face-to-face,Part-time,72.3,Did not complete,1,1,1,1
S125,25,3.04,7.9,32.0,Online,Not employed,,Did not complete,1,1,1,0
S126,34,3.32,9.7,21.7,Online,Not employed,88.3,Completed,1,1,1,1
S127,23,2.66,,30.3,Hybrid,Part-time,92.4,Completed,1,0,1,1
S128,34,3.22,8.2,32.2,Hybrid,Part-time,91.8,Completed,1,1,1,1
S129,29,3.56,9.1,38.7,Face-to-face,Not employed,95.2,Did not complete,1,1,1,1
S130,39,3.14,13.9,23.4,Hybrid,Part-time,100.0,Completed,1,1,1,1
S131,33,2.98,10.0,33.7,Face-to-face,Not employed,94.9,Completed,1,1,1,1
S132,20,2.74,6.4,28.9,Online,Not employed,76.2,Did not complete,1,1,1,1
S133,35,3.41,8.4,22.6,Online,Not employed,91.3,Did not complete,1,1,1,1
S134,34,3.08,8.3,29.3,Face-to-face,Full-time,76.9,Did not complete,1,1,1,1
S135,24,3.32,5.9,29.3,Face-to-face,Full-time,81.9,Completed,1,1,1,1
S136,45,2.79,7.5,27.9,Hybrid,Full-time,,Did not complete,1,1,1,0
S137,36,2.64,11.6,29.3,Face-to-face,Not employed,95.3,Completed,1,1,1,1
S138,37,2.55,10.2,31.9,Hybrid,Not employed,100.0,Completed,1,1,1,1
S139,26,2.56,9.0,21.8,Hybrid,Full-time,81.5,Did not complete,1,1,1,1
S140,35,3.31,9.9,19.0,Online,Full-time,93.6,Completed,1,1,1,1
