student_id,group_code,group,age,prior_score,writing_score,pass_status,passed,satisfaction
I001,0,Standard instruction,30,80.2,94.7,Passed,1,4
I002,0,Standard instruction,24,72.8,71.7,Passed,1,4
I003,0,Standard instruction,32,60.3,67.9,Did not pass,0,4
I004,1,Structured feedback,22,59.5,49.8,Did not pass,0,2
I005,1,Structured feedback,32,65.7,64.0,Did not pass,0,4
I006,0,Standard instruction,28,79.0,85.1,Passed,1,3
I007,1,Structured feedback,36,71.4,74.3,Passed,1,2
I008,1,Structured feedback,31,80.8,80.5,Passed,1,4
I009,0,Standard instruction,19,67.1,75.2,Passed,1,3
I010,0,Standard instruction,33,71.3,74.1,Passed,1,3
I011,0,Standard instruction,32,77.3,69.1,Did not pass,0,3
I012,1,Structured feedback,23,70.0,76.8,Passed,1,4
I013,1,Structured feedback,42,36.9,98.0,Passed,1,3
I014,1,Structured feedback,34,70.9,73.6,Passed,1,2
I015,1,Structured feedback,34,61.9,75.5,Passed,1,3
I016,0,Standard instruction,25,66.9,81.4,Passed,1,3
I017,1,Structured feedback,33,75.4,84.4,Passed,1,3
I018,0,Standard instruction,30,74.3,63.9,Did not pass,0,1
I019,1,Structured feedback,29,75.9,89.3,Passed,1,3
I020,1,Structured feedback,26,48.7,80.8,Passed,1,3
I021,1,Structured feedback,32,68.5,71.8,Passed,1,3
I022,1,Structured feedback,19,81.7,78.0,Passed,1,4
I023,0,Standard instruction,31,80.6,82.9,Passed,1,3
I024,1,Structured feedback,37,75.9,69.8,Did not pass,0,3
I025,1,Structured feedback,32,37.8,47.3,Did not pass,0,3
I026,0,Standard instruction,29,57.8,48.0,Did not pass,0,1
I027,1,Structured feedback,19,64.4,68.0,Did not pass,0,3
I028,1,Structured feedback,20,69.1,68.1,Did not pass,0,3
I029,1,Structured feedback,39,53.7,69.2,Did not pass,0,4
I030,1,Structured feedback,29,51.7,72.2,Passed,1,2
I031,1,Structured feedback,43,79.5,67.7,Did not pass,0,4
I032,1,Structured feedback,41,58.4,75.2,Passed,1,2
I033,1,Structured feedback,25,83.6,100.0,Passed,1,2
I034,1,Structured feedback,27,42.8,76.8,Passed,1,3
I035,1,Structured feedback,32,61.7,74.6,Passed,1,4
I036,1,Structured feedback,42,67.4,75.6,Passed,1,2
I037,1,Structured feedback,37,68.6,90.0,Passed,1,4
I038,0,Standard instruction,34,68.6,63.7,Did not pass,0,2
I039,0,Standard instruction,30,46.7,52.2,Did not pass,0,3
I040,1,Structured feedback,19,83.8,98.7,Passed,1,5
I041,1,Structured feedback,23,82.8,88.5,Passed,1,3
