participant_id,stress_baseline,stress_post,stress_followup
R001,37.1,45.0,44.0
R002,23.3,9.0,7.0
R003,32.1,30.2,29.7
R004,34.3,30.2,35.3
R005,19.7,17.2,12.6
R006,35.1,30.6,29.2
R007,28.7,30.7,21.7
R008,23.8,21.1,15.5
R009,44.5,40.2,39.0
R010,23.9,28.6,16.6
R011,33.3,26.6,21.6
R012,18.6,9.0,11.0
R013,30.9,21.8,26.6
R014,24.9,19.2,8.7
R015,23.1,21.2,17.2
R016,30.9,25.5,26.9
R017,25.5,16.2,19.5
R018,35.5,33.6,27.4
R019,21.9,18.4,11.2
R020,36.9,31.2,31.4
R021,22.1,15.0,9.1
R022,26.7,17.6,25.4
R023,30.6,29.0,25.6
R024,31.4,27.0,19.6
R025,32.5,29.8,19.7
R026,33.0,30.2,33.5
R027,19.9,15.6,16.8
R028,32.5,29.0,28.3
R029,37.7,37.6,32.0
R030,39.1,33.4,38.3
R031,19.1,18.7,5.0
R032,20.1,16.2,12.1
R033,16.1,10.3,11.5
R034,27.6,22.4,24.5
R035,24.2,20.6,25.3
R036,30.8,31.5,30.2
R037,22.4,21.2,16.5
R038,40.6,39.0,34.9
R039,21.6,24.1,13.4
R040,41.9,37.0,37.4
R041,26.3,23.6,20.7
R042,44.3,42.2,39.2
R043,25.1,17.2,15.1
R044,31.3,30.7,26.1
R045,27.4,18.5,13.1
R046,21.9,17.2,16.6
R047,31.5,19.8,15.7
R048,29.9,20.6,25.2
R049,15.0,8.1,5.0
R050,38.0,26.6,38.5
R051,28.4,21.6,17.9
R052,24.5,22.6,22.1
R053,34.1,34.0,30.3
R054,20.8,18.5,9.2
R055,18.1,15.6,12.1
R056,31.2,29.0,23.7
R057,31.5,28.4,26.0
R058,24.5,22.0,35.4
R059,39.6,36.5,30.5
R060,30.7,26.7,20.5
R061,28.1,25.5,19.2
R062,27.8,27.4,20.4
R063,28.1,21.9,26.0
R064,27.3,18.2,18.6
R065,26.7,50.0,22.8
R066,32.5,24.7,27.6
R067,25.4,19.0,21.8
R068,38.7,38.1,37.4
R069,33.0,28.0,5.0
R070,23.5,18.4,10.9
R071,26.2,22.3,30.5
R072,28.4,28.5,25.4
