student_id,instructional_format,prior_score,study_hours,online_engagement,final_score,passed
S001,Face-to-face,79.2,10.7,75.4,95.2,1
S002,Face-to-face,64.9,7.9,60.0,68.3,0
S003,Hybrid,76.2,10.6,75.0,92.2,1
S004,Hybrid,75.7,7.8,89.4,83.9,1
S005,Hybrid,70.9,6.7,89.2,84.3,1
S006,Face-to-face,58.0,4.6,44.4,59.2,0
S007,Hybrid,71.6,6.3,58.7,70.8,1
S008,Face-to-face,75.4,9.9,74.2,88.2,1
S009,Online,62.2,7.3,59.2,61.4,0
S010,Hybrid,75.8,6.2,52.9,79.4,1
S011,Online,58.6,3.4,70.6,57.2,0
S012,Face-to-face,53.2,10.0,55.3,76.5,1
S013,Face-to-face,67.2,4.6,55.9,73.9,1
S014,Hybrid,60.2,2.6,77.5,76.9,1
S015,Face-to-face,49.7,8.4,50.3,65.7,0
S016,Hybrid,41.3,10.1,73.4,75.2,1
S017,Hybrid,64.1,11.4,66.7,88.0,1
S018,Face-to-face,64.3,6.9,79.3,80.4,1
S019,Online,61.1,3.7,73.8,67.3,0
S020,Online,69.5,2.2,54.3,78.6,1
S021,Online,64.4,8.0,71.9,68.9,0
S022,Hybrid,61.3,7.1,47.6,83.5,1
S023,Face-to-face,85.5,8.2,48.3,73.9,1
S024,Online,65.0,4.6,74.8,73.9,1
S025,Face-to-face,67.0,6.7,49.5,81.0,1
S026,Face-to-face,76.5,12.0,67.0,86.5,1
S027,Online,64.3,6.1,55.2,62.2,0
S028,Hybrid,63.1,3.8,46.3,59.6,0
S029,Face-to-face,67.4,3.2,58.2,63.6,0
S030,Face-to-face,59.4,4.9,65.8,61.6,0
S031,Hybrid,66.6,9.2,62.2,82.9,1
S032,Hybrid,78.8,10.5,89.8,80.6,1
S033,Face-to-face,69.5,9.5,74.1,94.8,1
S034,Hybrid,68.2,8.7,70.3,81.3,1
S035,Hybrid,57.1,5.0,42.4,63.6,0
S036,Online,55.2,7.7,52.0,78.3,1
S037,Online,67.2,3.5,39.7,55.3,0
S038,Face-to-face,63.8,1.0,52.0,66.2,0
S039,Online,67.3,17.5,77.4,91.3,1
S040,Hybrid,63.1,8.1,63.6,76.1,1
S041,Hybrid,78.6,1.0,54.8,63.5,0
S042,Face-to-face,65.9,8.0,78.0,76.1,1
S043,Face-to-face,73.5,4.5,56.5,63.5,0
S044,Online,40.6,10.1,72.6,70.9,1
S045,Face-to-face,63.6,4.1,77.4,78.9,1
S046,Hybrid,74.2,8.8,72.8,91.7,1
S047,Online,77.0,3.4,47.5,77.8,1
S048,Face-to-face,74.9,6.6,62.1,70.7,1
S049,Face-to-face,90.0,10.2,69.9,80.7,1
S050,Face-to-face,60.3,8.5,57.1,69.4,0
S051,Online,64.2,4.1,53.2,61.7,0
S052,Hybrid,71.8,10.7,82.9,86.6,1
S053,Hybrid,71.2,6.1,67.6,68.6,0
S054,Face-to-face,63.9,9.1,69.9,78.5,1
S055,Hybrid,80.9,12.9,81.7,87.8,1
S056,Face-to-face,75.9,11.7,76.0,88.3,1
S057,Hybrid,81.3,8.4,66.5,88.6,1
S058,Face-to-face,47.3,4.8,63.1,61.9,0
