student_id,instructional_format,employment_status,prior_score,study_hours,self_efficacy,completed
B001,Face-to-face,Full-time,74.5,5.6,50.6,1
B002,Face-to-face,Full-time,53.2,2.5,31.4,0
B003,Hybrid,Part-time,71.9,11.5,45.0,0
B004,Hybrid,Full-time,74.4,2.9,35.9,1
B005,Hybrid,Part-time,86.6,12.8,54.1,1
B006,Face-to-face,Part-time,56.9,5.4,43.8,0
B007,Hybrid,Part-time,78.0,12.0,47.7,1
B008,Face-to-face,Not employed,69.0,6.1,36.5,0
B009,Online,Not employed,54.7,7.7,40.7,0
B010,Hybrid,Part-time,68.9,6.4,47.4,1
B011,Online,Part-time,68.3,3.7,41.5,1
B012,Face-to-face,Part-time,66.8,6.4,33.3,1
B013,Face-to-face,Full-time,70.0,6.2,35.7,1
B014,Hybrid,Full-time,75.3,1.5,44.6,0
B015,Face-to-face,Full-time,55.3,7.8,36.0,0
B016,Hybrid,Part-time,47.8,5.0,26.9,0
B017,Hybrid,Not employed,56.9,5.8,31.2,1
B018,Face-to-face,Part-time,59.8,8.2,38.2,1
B019,Online,Full-time,58.8,2.6,35.3,0
B020,Online,Full-time,52.3,1.0,38.0,0
B021,Online,Part-time,61.2,6.5,45.0,1
B022,Hybrid,Full-time,64.1,5.9,55.0,0
B023,Face-to-face,Part-time,65.7,5.4,46.4,1
B024,Online,Not employed,68.5,10.2,48.7,1
B025,Face-to-face,Full-time,61.4,5.7,46.0,1
B026,Face-to-face,Part-time,68.6,6.4,44.3,1
B027,Online,Not employed,67.3,7.8,46.9,1
B028,Hybrid,Full-time,48.1,3.8,40.4,1
B029,Face-to-face,Full-time,67.1,3.5,39.2,1
B030,Face-to-face,Part-time,64.4,5.3,43.5,0
B031,Hybrid,Not employed,71.8,7.9,55.0,1
B032,Hybrid,Not employed,47.3,4.8,33.3,1
B033,Face-to-face,Not employed,77.9,12.2,45.0,1
B034,Hybrid,Not employed,56.2,7.9,31.3,1
B035,Hybrid,Part-time,47.2,2.5,37.8,0
B036,Online,Not employed,65.6,7.2,43.8,1
B037,Online,Not employed,70.8,8.1,37.4,0
B038,Face-to-face,Full-time,50.3,7.6,35.4,1
B039,Online,Not employed,67.3,8.0,36.4,0
B040,Hybrid,Not employed,55.7,8.3,40.1,0
B041,Hybrid,Part-time,73.4,9.9,55.0,1
B042,Face-to-face,Not employed,73.8,6.8,50.1,0
B043,Face-to-face,Not employed,62.4,7.4,36.6,1
B044,Online,Part-time,63.9,4.1,44.2,0
B045,Face-to-face,Part-time,54.7,5.1,45.7,0
B046,Hybrid,Full-time,61.3,4.8,40.0,0
B047,Online,Part-time,67.0,2.9,35.8,1
B048,Face-to-face,Not employed,69.0,9.2,42.1,0
B049,Face-to-face,Not employed,64.2,9.6,50.5,0
B050,Face-to-face,Not employed,69.6,6.9,35.0,1
B051,Online,Full-time,74.0,7.1,45.8,0
B052,Hybrid,Part-time,70.0,6.5,53.2,0
B053,Hybrid,Not employed,84.8,9.3,55.0,1
B054,Face-to-face,Not employed,43.6,8.2,43.7,0
B055,Hybrid,Part-time,80.6,8.2,41.5,0
B056,Face-to-face,Not employed,71.9,8.0,47.3,1
B057,Hybrid,Full-time,58.6,1.9,32.3,1
B058,Face-to-face,Part-time,58.7,3.5,40.4,1
B059,Face-to-face,Full-time,83.7,4.2,48.1,1
B060,Online,Not employed,68.8,5.2,38.9,1
B061,Face-to-face,Full-time,68.3,3.4,50.2,1
B062,Face-to-face,Part-time,73.7,9.6,47.8,1
B063,Face-to-face,Not employed,58.4,6.0,49.2,1
B064,Hybrid,Not employed,75.6,9.7,38.7,1
B065,Hybrid,Part-time,58.7,6.4,44.3,1
B066,Hybrid,Full-time,80.2,7.3,38.5,1
B067,Face-to-face,Not employed,66.6,8.0,40.2,0
B068,Face-to-face,Full-time,66.3,6.6,30.6,1
B069,Hybrid,Full-time,77.3,5.7,45.8,1
B070,Online,Not employed,51.4,7.4,32.9,1
B071,Hybrid,Part-time,66.2,5.7,40.3,1
B072,Hybrid,Not employed,70.9,4.7,45.1,1
B073,Hybrid,Full-time,81.6,7.5,50.2,1
B074,Online,Not employed,57.5,4.3,43.7,0
B075,Online,Part-time,60.5,12.3,51.6,1
B076,Face-to-face,Part-time,62.6,7.6,40.4,0
B077,Hybrid,Part-time,66.1,7.6,46.6,1
B078,Hybrid,Not employed,59.1,5.3,37.1,1
B079,Hybrid,Full-time,53.1,3.7,37.9,1
B080,Online,Not employed,92.0,9.6,55.0,1
B081,Face-to-face,Full-time,78.0,5.6,39.1,0
B082,Face-to-face,Not employed,69.0,10.7,53.6,1
B083,Face-to-face,Part-time,61.7,2.9,44.0,1
B084,Face-to-face,Part-time,48.4,5.8,31.2,1
B085,Face-to-face,Not employed,76.3,8.7,46.0,1
B086,Hybrid,Not employed,77.5,7.9,46.6,1
B087,Hybrid,Full-time,59.3,4.4,34.9,1
B088,Hybrid,Not employed,62.4,6.7,44.8,1
B089,Face-to-face,Part-time,55.4,3.4,39.6,0
B090,Face-to-face,Not employed,50.7,3.9,35.1,0
