participant_id,intervention,baseline_score,self_efficacy,engagement,final_score
MD001,0,67.4,49.3,51.5,69.0
MD002,0,62.2,38.3,42.8,55.2
MD003,1,73.2,54.2,54.0,76.8
MD004,0,59.8,44.3,55.2,79.9
MD005,1,58.2,32.4,65.7,55.6
MD006,0,78.8,42.2,60.9,78.8
MD007,1,72.0,40.8,55.9,54.9
MD008,0,63.2,30.3,52.1,57.3
MD009,1,67.8,42.7,54.3,69.4
MD010,1,73.6,44.1,56.0,74.4
MD011,1,84.0,46.8,60.1,89.7
MD012,0,81.3,47.9,47.6,74.0
MD013,0,59.9,42.1,40.6,68.5
MD014,0,71.0,36.2,48.6,61.6
MD015,0,76.8,45.5,41.5,82.6
MD016,1,62.9,48.0,47.9,68.5
MD017,0,74.7,41.3,50.2,73.3
MD018,0,81.8,36.9,52.8,80.6
MD019,1,73.0,41.7,63.3,64.1
MD020,1,69.7,53.2,64.3,67.3
MD021,1,64.6,42.5,51.3,72.4
MD022,1,78.8,45.0,62.4,67.0
MD023,0,71.9,35.5,53.5,76.1
MD024,1,76.8,44.3,54.4,65.6
MD025,0,65.8,36.1,53.9,52.9
MD026,0,62.6,34.0,38.0,53.2
MD027,1,60.8,34.9,39.8,56.3
MD028,1,60.9,39.0,45.3,65.7
MD029,0,76.5,51.0,47.4,69.3
MD030,0,73.1,39.2,42.5,60.8
MD031,0,59.5,41.0,45.1,64.8
MD032,0,58.5,48.5,44.3,79.2
MD033,0,83.8,43.0,40.4,71.5
MD034,1,57.8,37.6,34.3,62.4
MD035,1,49.6,38.7,56.1,65.1
MD036,1,78.5,34.1,47.2,63.6
MD037,1,85.2,40.1,52.2,72.0
MD038,0,83.4,34.8,52.5,70.2
MD039,1,68.1,47.0,62.8,75.9
MD040,1,58.9,43.4,43.5,43.5
MD041,1,50.4,37.7,34.0,60.6
MD042,0,75.3,35.4,42.8,63.1
MD043,0,67.3,33.3,39.2,53.9
MD044,1,67.0,38.5,40.2,63.1
MD045,0,61.3,46.6,56.8,80.8
MD046,0,66.5,36.3,56.2,58.0
MD047,1,84.8,35.2,43.1,76.8
MD048,0,67.5,34.4,42.2,51.6
MD049,0,53.4,30.6,35.3,50.5
MD050,0,52.0,29.1,36.1,58.5
MD051,1,61.4,42.2,50.2,74.3
MD052,1,74.2,54.7,41.0,80.5
MD053,1,75.7,33.0,61.7,68.0
MD054,0,76.7,40.0,60.8,79.6
MD055,1,71.7,56.2,55.8,72.3
MD056,0,60.2,44.8,42.5,79.0
MD057,0,76.6,39.4,44.0,62.7
MD058,0,56.1,36.6,46.5,63.9
MD059,0,39.3,23.1,26.6,41.8
MD060,1,68.7,49.3,48.5,64.2
MD061,0,70.7,34.4,49.4,67.1
MD062,0,36.8,28.3,40.4,40.0
MD063,0,71.8,30.5,48.7,58.1
MD064,1,55.5,41.2,43.7,60.1
MD065,0,90.8,34.6,68.2,62.7
MD066,1,57.1,44.5,56.6,68.2
MD067,0,70.0,39.8,39.5,65.7
MD068,0,53.0,33.5,33.4,52.5
MD069,1,63.5,54.4,52.9,70.2
MD070,1,73.6,45.7,43.1,81.9
MD071,1,75.7,39.7,58.0,77.0
MD072,1,59.5,43.1,52.2,69.9
MD073,1,78.4,46.5,53.2,79.8
MD074,1,60.2,39.5,60.2,63.7
MD075,1,76.8,32.9,41.4,61.3
MD076,0,84.6,35.5,46.4,72.5
MD077,0,83.8,33.7,40.0,55.1
MD078,0,66.6,37.1,45.2,65.1
MD079,0,64.7,36.4,49.3,73.5
MD080,1,61.5,42.8,52.5,68.4
MD081,0,64.7,31.4,32.4,44.7
MD082,0,80.7,42.6,46.4,63.7
MD083,0,75.5,38.2,31.1,67.5
MD084,0,69.8,26.1,43.9,69.5
MD085,0,53.7,37.7,43.2,40.4
MD086,1,61.8,36.1,38.5,57.1
MD087,1,79.9,44.2,44.2,75.9
MD088,1,70.0,44.1,59.0,70.6
MD089,0,42.8,27.6,43.8,43.2
MD090,0,87.3,40.4,46.2,76.8
MD091,0,76.3,40.0,50.9,59.4
MD092,1,71.2,48.1,53.3,66.5
MD093,0,62.5,47.5,44.8,56.7
MD094,0,78.9,38.6,28.1,75.3
MD095,1,53.0,38.5,55.7,68.8
MD096,1,69.8,48.3,42.5,73.6
MD097,0,55.6,38.1,46.5,53.4
MD098,0,72.6,38.4,55.3,67.6
MD099,1,65.5,42.2,60.5,66.0
MD100,0,64.0,43.1,57.0,74.7
MD101,0,63.7,42.9,43.8,66.2
MD102,0,87.4,36.4,38.7,54.4
MD103,1,66.8,51.4,51.9,72.9
MD104,1,52.1,33.8,44.1,62.1
MD105,0,53.7,34.4,41.9,64.6
MD106,0,81.3,32.0,46.7,68.5
MD107,0,63.5,56.0,69.9,74.1
MD108,0,76.0,38.8,51.5,76.6
MD109,1,55.4,38.4,34.0,47.5
MD110,1,60.5,42.2,61.0,68.6
MD111,0,71.2,32.5,47.1,65.7
MD112,1,81.3,41.3,41.2,77.1
MD113,1,67.8,45.4,51.7,79.6
MD114,1,55.0,49.7,43.6,67.7
MD115,0,56.4,33.9,49.2,49.8
MD116,1,55.9,42.9,62.9,60.7
MD117,0,76.4,47.1,52.4,81.8
MD118,0,68.7,33.7,32.3,60.8
MD119,0,74.2,40.6,55.3,76.2
MD120,0,73.1,44.7,44.8,64.9
MD121,1,60.7,37.6,58.1,65.8
MD122,1,66.4,37.5,58.2,67.2
MD123,1,63.0,35.6,45.3,61.1
MD124,0,84.4,38.3,66.5,74.0
MD125,1,69.3,52.8,62.8,69.9
MD126,1,83.4,46.0,55.6,81.0
MD127,0,79.6,28.3,23.0,61.5
MD128,1,49.6,33.7,40.4,53.2
MD129,0,63.2,36.4,30.7,66.2
MD130,1,52.6,27.3,48.4,46.4
MD131,0,77.2,49.1,47.2,74.5
MD132,0,79.1,43.2,43.0,79.5
MD133,0,84.3,40.2,49.0,74.1
MD134,1,62.3,40.1,51.9,77.7
MD135,1,68.1,38.5,54.0,69.7
MD136,0,48.0,35.4,48.6,70.8
MD137,0,68.8,32.4,56.6,71.9
MD138,0,73.6,29.6,45.7,65.8
MD139,0,66.8,32.1,39.6,54.9
MD140,1,82.2,45.5,58.6,80.3
MD141,0,71.4,35.4,42.0,60.4
MD142,1,66.5,43.6,49.9,68.0
MD143,0,55.4,33.2,41.5,73.0
MD144,0,70.5,39.4,35.4,65.2
MD145,1,58.8,34.4,46.2,68.6
MD146,0,57.2,36.0,52.2,60.4
MD147,0,64.4,35.9,51.1,53.7
MD148,1,79.1,42.0,48.5,72.8
MD149,1,65.8,41.3,58.9,72.4
MD150,0,51.6,37.1,39.4,62.8
MD151,0,55.7,32.0,42.0,38.3
MD152,1,70.3,40.1,58.7,75.7
MD153,1,67.8,44.7,53.7,76.9
MD154,1,62.3,40.4,50.3,78.4
MD155,0,69.5,34.4,48.7,59.0
MD156,1,77.6,49.2,57.7,68.0
MD157,1,73.0,48.2,56.2,60.0
MD158,0,78.7,50.9,49.4,83.6
MD159,0,52.0,40.9,45.9,62.9
MD160,1,55.2,33.3,55.2,60.3
MD161,0,69.9,39.0,36.1,53.8
MD162,0,56.1,35.6,37.5,58.3
MD163,0,56.1,49.6,64.9,70.0
MD164,0,41.4,27.9,36.0,47.5
MD165,1,64.3,27.9,60.7,71.0
MD166,0,60.1,47.4,39.8,60.0
MD167,0,69.4,38.1,52.2,55.5
MD168,1,64.5,46.0,57.1,62.3
MD169,1,80.2,43.9,61.2,75.6
MD170,1,56.0,36.8,37.4,51.1
MD171,0,60.1,41.8,53.4,59.6
MD172,1,50.0,50.5,59.8,71.9
MD173,1,42.1,41.7,50.3,56.2
MD174,0,63.9,35.2,50.5,51.3
MD175,0,54.6,45.3,42.2,68.9
MD176,1,48.0,39.3,56.8,53.3
MD177,0,81.0,36.0,46.5,53.7
MD178,0,63.1,32.6,43.1,41.8
MD179,1,87.0,46.6,53.1,65.9
MD180,0,80.0,35.6,36.0,66.6
MD181,0,58.0,35.5,31.6,53.3
MD182,1,63.3,45.2,70.4,67.0
MD183,1,77.4,36.4,54.5,68.3
MD184,1,62.5,44.7,47.3,74.3
MD185,0,68.9,33.5,53.9,74.4
MD186,1,88.1,46.1,63.1,75.0
MD187,1,78.2,41.0,58.3,83.6
MD188,1,56.5,43.5,57.5,70.5
MD189,0,67.5,38.8,46.1,59.9
MD190,1,56.8,47.0,50.7,70.9
MD191,0,74.2,40.7,50.9,71.7
MD192,0,73.5,39.6,47.4,74.2
MD193,0,78.1,41.0,40.0,72.2
MD194,1,59.4,53.8,56.9,70.4
MD195,0,68.8,42.1,40.3,64.6
MD196,1,53.8,42.9,53.0,67.9
MD197,1,49.5,36.3,51.0,58.5
MD198,0,65.9,42.7,53.4,59.9
MD199,0,61.6,26.1,41.7,59.1
MD200,0,53.8,40.5,56.0,61.7
MD201,1,59.3,44.7,56.6,63.0
MD202,0,62.7,42.0,42.0,66.7
MD203,1,76.7,39.5,57.0,65.4
MD204,0,88.2,42.2,42.0,79.1
MD205,1,80.3,47.8,63.3,78.3
MD206,0,58.8,32.9,48.1,51.9
MD207,1,44.5,37.5,56.3,78.3
MD208,0,75.0,52.5,47.7,73.8
MD209,1,64.2,40.9,60.8,73.2
MD210,0,74.2,36.2,41.7,65.7
MD211,1,62.3,47.5,48.7,70.6
MD212,0,59.9,31.9,39.2,52.9
MD213,1,77.5,41.3,39.9,79.5
MD214,0,66.3,47.7,42.1,77.6
MD215,0,70.2,43.6,62.8,73.9
MD216,0,62.5,32.2,37.1,55.2
MD217,0,70.0,45.9,55.0,63.4
MD218,1,87.2,48.1,49.2,85.5
MD219,1,89.2,48.6,60.0,80.7
MD220,1,55.5,43.8,55.7,51.0
MD221,1,64.4,44.5,54.3,73.2
MD222,1,70.8,51.9,42.8,67.5
MD223,1,62.9,46.3,46.3,90.1
MD224,1,59.6,46.8,56.2,52.3
MD225,1,79.6,47.0,46.4,72.0
MD226,1,54.7,39.6,47.1,51.0
MD227,0,65.2,38.5,34.5,67.6
MD228,1,86.8,40.1,44.8,78.0
MD229,0,53.5,34.1,49.2,52.4
MD230,1,69.7,42.6,49.9,72.6
MD231,0,61.7,38.5,45.1,62.2
MD232,0,80.4,39.5,38.9,73.5
MD233,0,81.8,44.0,68.6,67.3
MD234,1,68.2,48.1,56.6,77.6
MD235,1,72.2,54.7,54.7,73.9
MD236,0,53.6,21.4,31.4,46.9
MD237,1,52.2,37.3,61.5,62.3
MD238,0,80.9,43.2,54.9,69.0
