participant_id,prior_score,study_hours,workload,study_hours_c,workload_c,final_score
MO001,73.1,9.29,45.69,2.2373,-3.9592,79.0
MO002,62.5,9.78,66.32,2.7266,16.6768,63.3
MO003,60.8,1.76,30.66,-5.2943,-18.9861,48.4
MO004,70.6,7.59,54.16,0.5404,4.5171,42.7
MO005,50.0,11.47,55.79,4.4213,6.1477,64.1
MO006,69.1,11.16,47.82,4.1075,-1.8264,64.8
MO007,68.1,9.76,56.88,2.7102,7.2296,66.0
MO008,74.6,1.0,70.29,-6.053,20.6427,59.9
MO009,66.3,4.44,45.81,-2.6113,-3.8374,70.4
MO010,50.3,6.39,23.42,-0.6647,-26.2274,55.3
MO011,65.3,7.78,50.8,0.7234,1.1497,51.3
MO012,77.0,3.24,41.48,-3.8178,-8.1621,64.5
MO013,90.7,2.65,59.48,-4.4017,9.8299,84.5
MO014,79.5,10.82,42.37,3.7654,-7.2802,76.0
MO015,56.3,4.63,60.57,-2.4262,10.9221,69.0
MO016,60.2,12.05,56.23,4.9964,6.5789,66.0
MO017,81.1,1.0,48.59,-6.053,-1.0519,61.3
MO018,67.4,5.59,49.34,-1.4667,-0.3081,64.8
MO019,66.6,7.27,54.93,0.2165,5.285,63.7
MO020,92.0,7.62,47.39,0.5667,-2.2613,75.7
MO021,78.2,7.63,32.64,0.578,-17.0031,67.1
MO022,79.7,1.17,49.44,-5.8793,-0.2081,66.6
MO023,83.4,12.11,48.12,5.0604,-1.5287,77.4
MO024,72.3,11.8,29.87,4.7482,-19.7743,92.1
MO025,63.7,11.41,72.99,4.3533,23.3454,44.0
MO026,67.4,8.47,42.27,1.4129,-7.3757,65.0
MO027,61.2,9.31,31.54,2.257,-18.1061,62.8
MO028,81.1,1.0,39.78,-6.053,-9.8715,49.3
MO029,72.1,5.69,51.03,-1.3637,1.3875,63.1
MO030,58.8,5.89,45.04,-1.1613,-4.6066,65.8
MO031,71.3,5.96,44.9,-1.0945,-4.7465,64.1
MO032,62.5,7.12,47.25,0.0701,-2.3944,59.7
MO033,63.6,5.66,43.32,-1.3914,-6.3311,62.1
MO034,64.3,8.72,42.67,1.6707,-6.9777,68.9
MO035,53.1,4.98,47.87,-2.0745,-1.7754,61.9
MO036,63.6,4.53,33.51,-2.5206,-16.1364,55.4
MO037,83.2,10.3,44.74,3.2463,-4.9047,76.8
MO038,66.0,8.4,51.33,1.3424,1.6863,58.4
MO039,79.7,5.95,46.31,-1.1062,-3.3369,77.4
MO040,71.4,7.21,51.08,0.1618,1.4343,62.1
MO041,84.8,8.85,28.88,1.7957,-20.7707,75.2
MO042,72.2,11.76,54.77,4.7081,5.1264,76.7
MO043,74.1,11.01,63.05,3.9522,13.4015,62.0
MO044,66.0,5.01,44.57,-2.0386,-5.0762,65.9
MO045,70.3,8.13,42.37,1.0785,-7.2729,65.3
MO046,68.6,9.76,43.33,2.704,-6.3153,68.1
MO047,60.0,5.87,38.86,-1.1878,-10.7874,62.4
MO048,72.5,9.16,41.6,2.1043,-8.0492,79.3
MO049,62.6,11.14,55.17,4.0841,5.5201,61.9
MO050,72.7,8.68,43.75,1.624,-5.895,69.0
MO051,59.1,7.75,41.21,0.6952,-8.4376,71.8
MO052,64.6,6.34,50.75,-0.7136,1.1011,60.9
MO053,63.4,10.29,54.27,3.2401,4.6256,64.2
MO054,74.7,8.36,35.1,1.3055,-14.5466,78.2
MO055,56.4,9.74,52.96,2.6871,3.3134,57.8
MO056,76.9,6.65,62.96,-0.4007,13.3143,70.7
MO057,69.2,5.77,63.04,-1.2846,13.3901,67.7
MO058,68.2,5.27,50.7,-1.787,1.0522,63.6
MO059,74.3,5.28,48.36,-1.7681,-1.2914,65.4
MO060,77.8,9.67,59.45,2.6195,9.8075,69.3
MO061,77.8,8.69,47.76,1.6411,-1.8911,66.3
MO062,63.9,4.9,50.36,-2.157,0.716,68.0
MO063,65.3,4.61,58.13,-2.4405,8.4866,67.8
MO064,82.1,11.7,50.32,4.6438,0.6752,81.8
MO065,51.4,4.44,48.85,-2.6171,-0.8,61.8
