student_id,treatment,prior_score,time,time_num,outcome_score
R001,Control,74.6,Baseline,0,75.5
R001,Control,74.6,Post,1,70.8
R001,Control,74.6,Follow-up,2,67.5
R002,Control,78.7,Baseline,0,75.1
R002,Control,78.7,Post,1,73.2
R002,Control,78.7,Follow-up,2,84.5
R003,Control,62.5,Baseline,0,67.6
R003,Control,62.5,Post,1,82.2
R003,Control,62.5,Follow-up,2,73.6
R004,Intervention,69.1,Baseline,0,75.1
R004,Intervention,69.1,Post,1,
R004,Intervention,69.1,Follow-up,2,84.9
R005,Intervention,71.3,Baseline,0,78.8
R005,Intervention,71.3,Post,1,84.0
R005,Intervention,71.3,Follow-up,2,
R006,Intervention,80.7,Baseline,0,90.6
R006,Intervention,80.7,Post,1,99.1
R006,Intervention,80.7,Follow-up,2,100.8
R007,Control,77.6,Baseline,0,53.9
R007,Control,77.6,Post,1,52.3
R007,Control,77.6,Follow-up,2,51.9
R008,Control,69.3,Baseline,0,81.0
R008,Control,69.3,Post,1,76.6
R008,Control,69.3,Follow-up,2,83.5
R009,Intervention,75.8,Baseline,0,73.2
R009,Intervention,75.8,Post,1,95.0
R009,Intervention,75.8,Follow-up,2,80.0
R010,Control,40.5,Baseline,0,70.8
R010,Control,40.5,Post,1,56.7
R010,Control,40.5,Follow-up,2,67.5
R011,Intervention,77.6,Baseline,0,66.3
R011,Intervention,77.6,Post,1,78.9
R011,Intervention,77.6,Follow-up,2,80.2
R012,Control,58.8,Baseline,0,71.9
R012,Control,58.8,Post,1,79.5
R012,Control,58.8,Follow-up,2,80.6
R013,Control,67.1,Baseline,0,62.1
R013,Control,67.1,Post,1,83.3
R013,Control,67.1,Follow-up,2,
R014,Control,58.9,Baseline,0,67.7
R014,Control,58.9,Post,1,75.6
R014,Control,58.9,Follow-up,2,63.3
R015,Control,67.4,Baseline,0,66.7
R015,Control,67.4,Post,1,79.3
R015,Control,67.4,Follow-up,2,81.3
R016,Control,49.5,Baseline,0,58.7
R016,Control,49.5,Post,1,68.8
R016,Control,49.5,Follow-up,2,64.0
R017,Control,67.4,Baseline,0,76.7
R017,Control,67.4,Post,1,78.9
R017,Control,67.4,Follow-up,2,77.6
R018,Intervention,63.6,Baseline,0,61.4
R018,Intervention,63.6,Post,1,68.3
R018,Intervention,63.6,Follow-up,2,74.8
R019,Control,68.4,Baseline,0,76.9
R019,Control,68.4,Post,1,91.8
R019,Control,68.4,Follow-up,2,84.9
R020,Control,63.6,Baseline,0,63.9
R020,Control,63.6,Post,1,72.6
R020,Control,63.6,Follow-up,2,74.7
R021,Intervention,71.0,Baseline,0,81.7
R021,Intervention,71.0,Post,1,79.4
R021,Intervention,71.0,Follow-up,2,86.2
R022,Control,63.0,Baseline,0,84.3
R022,Control,63.0,Post,1,75.0
R022,Control,63.0,Follow-up,2,78.2
R023,Intervention,67.1,Baseline,0,57.1
R023,Intervention,67.1,Post,1,66.2
R023,Intervention,67.1,Follow-up,2,70.8
R024,Control,77.2,Baseline,0,65.7
R024,Control,77.2,Post,1,79.8
R024,Control,77.2,Follow-up,2,81.4
R025,Intervention,62.8,Baseline,0,70.8
R025,Intervention,62.8,Post,1,80.5
R025,Intervention,62.8,Follow-up,2,78.8
R026,Intervention,77.0,Baseline,0,85.2
R026,Intervention,77.0,Post,1,95.8
R026,Intervention,77.0,Follow-up,2,96.2
R027,Control,65.0,Baseline,0,65.8
R027,Control,65.0,Post,1,61.5
R027,Control,65.0,Follow-up,2,63.3
R028,Intervention,60.0,Baseline,0,60.2
R028,Intervention,60.0,Post,1,66.7
R028,Intervention,60.0,Follow-up,2,73.4
R029,Intervention,61.2,Baseline,0,74.0
R029,Intervention,61.2,Post,1,69.5
R029,Intervention,61.2,Follow-up,2,78.5
R030,Control,79.0,Baseline,0,76.5
R030,Control,79.0,Post,1,80.7
R030,Control,79.0,Follow-up,2,80.3
R031,Intervention,65.0,Baseline,0,70.1
R031,Intervention,65.0,Post,1,71.5
R031,Intervention,65.0,Follow-up,2,78.8
R032,Intervention,77.4,Baseline,0,65.0
R032,Intervention,77.4,Post,1,64.5
R032,Intervention,77.4,Follow-up,2,79.1
R033,Control,68.0,Baseline,0,86.1
R033,Control,68.0,Post,1,109.3
R033,Control,68.0,Follow-up,2,
R034,Intervention,66.2,Baseline,0,81.2
R034,Intervention,66.2,Post,1,78.3
R034,Intervention,66.2,Follow-up,2,83.7
R035,Intervention,66.8,Baseline,0,73.8
R035,Intervention,66.8,Post,1,78.1
R035,Intervention,66.8,Follow-up,2,91.4
R036,Control,56.3,Baseline,0,57.1
R036,Control,56.3,Post,1,68.4
R036,Control,56.3,Follow-up,2,68.2
R037,Intervention,74.3,Baseline,0,62.2
R037,Intervention,74.3,Post,1,66.2
R037,Intervention,74.3,Follow-up,2,67.8
R038,Control,54.5,Baseline,0,67.6
R038,Control,54.5,Post,1,66.6
R038,Control,54.5,Follow-up,2,75.0
R039,Control,81.4,Baseline,0,82.4
R039,Control,81.4,Post,1,87.8
R039,Control,81.4,Follow-up,2,
R040,Intervention,72.0,Baseline,0,74.9
R040,Intervention,72.0,Post,1,74.8
R040,Intervention,72.0,Follow-up,2,76.5
R041,Intervention,65.2,Baseline,0,66.4
R041,Intervention,65.2,Post,1,70.0
R041,Intervention,65.2,Follow-up,2,87.2
R042,Control,66.1,Baseline,0,77.7
R042,Control,66.1,Post,1,62.2
R042,Control,66.1,Follow-up,2,67.3
R043,Control,73.6,Baseline,0,59.8
R043,Control,73.6,Post,1,69.9
R043,Control,73.6,Follow-up,2,73.0
R044,Intervention,59.3,Baseline,0,77.9
R044,Intervention,59.3,Post,1,85.1
R044,Intervention,59.3,Follow-up,2,90.1
R045,Control,69.1,Baseline,0,69.9
R045,Control,69.1,Post,1,68.1
R045,Control,69.1,Follow-up,2,65.8
R046,Intervention,55.2,Baseline,0,64.7
R046,Intervention,55.2,Post,1,79.2
R046,Intervention,55.2,Follow-up,2,
R047,Control,66.2,Baseline,0,65.5
R047,Control,66.2,Post,1,75.4
R047,Control,66.2,Follow-up,2,66.0
R048,Control,64.6,Baseline,0,78.0
R048,Control,64.6,Post,1,91.4
R048,Control,64.6,Follow-up,2,83.9
R049,Control,71.2,Baseline,0,78.8
R049,Control,71.2,Post,1,
R049,Control,71.2,Follow-up,2,77.9
R050,Control,56.8,Baseline,0,66.3
R050,Control,56.8,Post,1,63.2
R050,Control,56.8,Follow-up,2,63.0
R051,Intervention,55.9,Baseline,0,82.9
R051,Intervention,55.9,Post,1,83.0
R051,Intervention,55.9,Follow-up,2,
R052,Intervention,66.1,Baseline,0,76.8
R052,Intervention,66.1,Post,1,67.5
R052,Intervention,66.1,Follow-up,2,75.4
R053,Control,51.7,Baseline,0,60.5
R053,Control,51.7,Post,1,72.7
R053,Control,51.7,Follow-up,2,
R054,Control,63.6,Baseline,0,86.0
R054,Control,63.6,Post,1,73.6
R054,Control,63.6,Follow-up,2,71.4
R055,Control,58.9,Baseline,0,60.0
R055,Control,58.9,Post,1,64.7
R055,Control,58.9,Follow-up,2,56.1
R056,Control,65.8,Baseline,0,69.3
R056,Control,65.8,Post,1,74.7
R056,Control,65.8,Follow-up,2,79.1
R057,Intervention,69.4,Baseline,0,70.6
R057,Intervention,69.4,Post,1,84.4
R057,Intervention,69.4,Follow-up,2,
R058,Intervention,83.0,Baseline,0,66.8
R058,Intervention,83.0,Post,1,83.0
R058,Intervention,83.0,Follow-up,2,
R059,Control,60.1,Baseline,0,71.0
R059,Control,60.1,Post,1,
R059,Control,60.1,Follow-up,2,63.9
R060,Control,69.0,Baseline,0,77.9
R060,Control,69.0,Post,1,88.9
R060,Control,69.0,Follow-up,2,76.5
R061,Intervention,66.5,Baseline,0,73.7
R061,Intervention,66.5,Post,1,74.2
R061,Intervention,66.5,Follow-up,2,84.3
R062,Control,71.9,Baseline,0,76.2
R062,Control,71.9,Post,1,62.3
R062,Control,71.9,Follow-up,2,
R063,Intervention,69.5,Baseline,0,63.2
R063,Intervention,69.5,Post,1,75.9
R063,Intervention,69.5,Follow-up,2,81.3
R064,Intervention,84.4,Baseline,0,70.6
R064,Intervention,84.4,Post,1,82.9
R064,Intervention,84.4,Follow-up,2,76.3
R065,Intervention,57.3,Baseline,0,67.0
R065,Intervention,57.3,Post,1,62.6
R065,Intervention,57.3,Follow-up,2,76.7
R066,Intervention,74.8,Baseline,0,70.6
R066,Intervention,74.8,Post,1,79.4
R066,Intervention,74.8,Follow-up,2,88.5
R067,Control,48.5,Baseline,0,69.2
R067,Control,48.5,Post,1,69.9
R067,Control,48.5,Follow-up,2,80.0
R068,Control,72.4,Baseline,0,55.2
R068,Control,72.4,Post,1,72.5
R068,Control,72.4,Follow-up,2,61.6
R069,Intervention,71.6,Baseline,0,73.6
R069,Intervention,71.6,Post,1,84.6
R069,Intervention,71.6,Follow-up,2,92.0
R070,Control,58.8,Baseline,0,75.4
R070,Control,58.8,Post,1,71.0
R070,Control,58.8,Follow-up,2,68.9
R071,Intervention,54.2,Baseline,0,69.5
R071,Intervention,54.2,Post,1,82.2
R071,Intervention,54.2,Follow-up,2,73.6
R072,Control,53.9,Baseline,0,69.0
R072,Control,53.9,Post,1,71.3
R072,Control,53.9,Follow-up,2,64.4
R073,Control,60.2,Baseline,0,47.9
R073,Control,60.2,Post,1,51.9
R073,Control,60.2,Follow-up,2,55.7
R074,Control,58.3,Baseline,0,52.9
R074,Control,58.3,Post,1,73.4
R074,Control,58.3,Follow-up,2,69.2
R075,Intervention,65.1,Baseline,0,57.6
R075,Intervention,65.1,Post,1,66.8
R075,Intervention,65.1,Follow-up,2,80.8
R076,Intervention,53.0,Baseline,0,59.9
R076,Intervention,53.0,Post,1,76.9
R076,Intervention,53.0,Follow-up,2,67.5
R077,Control,77.4,Baseline,0,61.1
R077,Control,77.4,Post,1,70.0
R077,Control,77.4,Follow-up,2,73.4
R078,Intervention,63.8,Baseline,0,82.0
R078,Intervention,63.8,Post,1,81.5
R078,Intervention,63.8,Follow-up,2,91.9
R079,Control,59.6,Baseline,0,61.5
R079,Control,59.6,Post,1,77.8
R079,Control,59.6,Follow-up,2,62.9
R080,Intervention,74.3,Baseline,0,64.1
R080,Intervention,74.3,Post,1,63.6
R080,Intervention,74.3,Follow-up,2,64.7
R081,Control,50.0,Baseline,0,69.7
R081,Control,50.0,Post,1,62.7
R081,Control,50.0,Follow-up,2,65.6
R082,Intervention,74.0,Baseline,0,82.0
R082,Intervention,74.0,Post,1,79.4
R082,Intervention,74.0,Follow-up,2,94.0
R083,Intervention,58.1,Baseline,0,66.1
R083,Intervention,58.1,Post,1,67.6
R083,Intervention,58.1,Follow-up,2,71.4
R084,Intervention,62.6,Baseline,0,84.7
R084,Intervention,62.6,Post,1,88.2
R084,Intervention,62.6,Follow-up,2,92.9
R085,Intervention,55.6,Baseline,0,71.5
R085,Intervention,55.6,Post,1,70.0
R085,Intervention,55.6,Follow-up,2,71.3
R086,Intervention,63.2,Baseline,0,71.5
R086,Intervention,63.2,Post,1,66.1
R086,Intervention,63.2,Follow-up,2,81.6
R087,Control,52.4,Baseline,0,74.4
R087,Control,52.4,Post,1,70.5
R087,Control,52.4,Follow-up,2,58.8
R088,Intervention,67.9,Baseline,0,63.8
R088,Intervention,67.9,Post,1,77.1
R088,Intervention,67.9,Follow-up,2,86.6
R089,Intervention,79.8,Baseline,0,60.8
R089,Intervention,79.8,Post,1,76.3
R089,Intervention,79.8,Follow-up,2,85.2
R090,Intervention,71.5,Baseline,0,67.2
R090,Intervention,71.5,Post,1,67.5
R090,Intervention,71.5,Follow-up,2,81.6
R091,Intervention,73.3,Baseline,0,68.9
R091,Intervention,73.3,Post,1,76.8
R091,Intervention,73.3,Follow-up,2,
R092,Control,55.1,Baseline,0,72.9
R092,Control,55.1,Post,1,72.3
R092,Control,55.1,Follow-up,2,69.6
R093,Control,49.4,Baseline,0,64.2
R093,Control,49.4,Post,1,69.1
R093,Control,49.4,Follow-up,2,65.5
R094,Control,57.7,Baseline,0,63.0
R094,Control,57.7,Post,1,60.8
R094,Control,57.7,Follow-up,2,48.9
R095,Intervention,58.9,Baseline,0,65.2
R095,Intervention,58.9,Post,1,70.9
R095,Intervention,58.9,Follow-up,2,74.8
R096,Control,62.6,Baseline,0,62.0
R096,Control,62.6,Post,1,61.5
R096,Control,62.6,Follow-up,2,
R097,Intervention,54.0,Baseline,0,51.5
R097,Intervention,54.0,Post,1,67.3
R097,Intervention,54.0,Follow-up,2,71.6
R098,Control,64.2,Baseline,0,72.6
R098,Control,64.2,Post,1,
R098,Control,64.2,Follow-up,2,68.6
R099,Intervention,54.3,Baseline,0,62.5
R099,Intervention,54.3,Post,1,70.6
R099,Intervention,54.3,Follow-up,2,85.0
R100,Intervention,61.6,Baseline,0,67.6
R100,Intervention,61.6,Post,1,78.1
R100,Intervention,61.6,Follow-up,2,73.3
R101,Control,64.9,Baseline,0,66.7
R101,Control,64.9,Post,1,
R101,Control,64.9,Follow-up,2,65.5
R102,Control,66.9,Baseline,0,70.4
R102,Control,66.9,Post,1,68.0
R102,Control,66.9,Follow-up,2,75.8
R103,Intervention,58.9,Baseline,0,68.2
R103,Intervention,58.9,Post,1,69.1
R103,Intervention,58.9,Follow-up,2,78.4
R104,Control,90.0,Baseline,0,73.4
R104,Control,90.0,Post,1,84.2
R104,Control,90.0,Follow-up,2,90.4
R105,Intervention,68.1,Baseline,0,70.3
R105,Intervention,68.1,Post,1,85.7
R105,Intervention,68.1,Follow-up,2,84.3
R106,Control,41.8,Baseline,0,72.5
R106,Control,41.8,Post,1,67.6
R106,Control,41.8,Follow-up,2,62.2
R107,Control,77.0,Baseline,0,62.4
R107,Control,77.0,Post,1,72.8
R107,Control,77.0,Follow-up,2,66.8
R108,Intervention,55.9,Baseline,0,74.4
R108,Intervention,55.9,Post,1,92.0
R108,Intervention,55.9,Follow-up,2,84.7
R109,Intervention,74.3,Baseline,0,74.8
R109,Intervention,74.3,Post,1,74.3
