item,expert_id,relevance_rating_1_to_4,essential_1_yes_0_no
q1,E1,4,1
q1,E2,3,1
q1,E3,3,1
q1,E4,4,1
q1,E5,3,1
q1,E6,3,1
q1,E7,3,1
q1,E8,3,1
q2,E1,4,1
q2,E2,3,1
q2,E3,4,1
q2,E4,4,1
q2,E5,4,1
q2,E6,4,1
q2,E7,3,1
q2,E8,4,1
q3,E1,4,1
q3,E2,4,1
q3,E3,4,1
q3,E4,4,1
q3,E5,3,0
q3,E6,3,1
q3,E7,3,1
q3,E8,4,1
q4,E1,4,0
q4,E2,4,1
q4,E3,4,1
q4,E4,3,1
q4,E5,4,1
q4,E6,4,1
q4,E7,2,1
q4,E8,4,1
q5,E1,3,1
q5,E2,4,1
q5,E3,4,1
q5,E4,3,1
q5,E5,3,1
q5,E6,4,1
q5,E7,4,1
q5,E8,4,1
q6,E1,4,1
q6,E2,3,1
q6,E3,3,1
q6,E4,4,1
q6,E5,4,1
q6,E6,2,1
q6,E7,3,1
q6,E8,3,0
q7,E1,3,1
q7,E2,4,1
q7,E3,3,1
q7,E4,4,1
q7,E5,4,1
q7,E6,4,1
q7,E7,4,1
q7,E8,3,1
q8,E1,2,1
q8,E2,4,1
q8,E3,3,1
q8,E4,4,1
q8,E5,4,1
q8,E6,3,0
q8,E7,4,1
q8,E8,4,1
q9,E1,3,1
q9,E2,2,1
q9,E3,3,1
q9,E4,3,0
q9,E5,4,1
q9,E6,4,1
q9,E7,4,1
q9,E8,3,1
q10,E1,4,0
q10,E2,4,1
q10,E3,4,1
q10,E4,3,0
q10,E5,2,1
q10,E6,2,1
q10,E7,1,0
q10,E8,4,1
q11,E1,4,1
q11,E2,4,1
q11,E3,4,1
q11,E4,4,1
q11,E5,2,1
q11,E6,3,0
q11,E7,4,0
q11,E8,2,0
q12,E1,1,1
q12,E2,2,0
q12,E3,4,0
q12,E4,3,0
q12,E5,2,1
q12,E6,2,1
q12,E7,3,1
q12,E8,4,0
