essay_id,rater_1,rater_2,rater_3
ES001,13.5,14.5,12.5
ES002,15.0,14.0,13.5
ES003,13.5,15.0,15.5
ES004,13.5,15.5,14.5
ES005,12.5,13.5,13.5
ES006,7.5,7.5,7.5
ES007,20.0,18.5,17.0
ES008,9.0,11.5,9.5
ES009,11.5,13.0,12.0
ES010,12.0,11.5,10.5
ES011,11.5,14.0,11.5
ES012,12.0,13.5,10.5
ES013,14.5,14.5,16.5
ES014,14.0,13.0,12.0
ES015,15.0,17.5,17.0
ES016,15.0,15.5,15.0
ES017,11.0,10.0,10.5
ES018,14.0,12.0,14.0
ES019,11.0,10.0,11.0
ES020,13.0,14.5,11.5
ES021,12.5,15.0,10.5
ES022,15.5,14.0,14.0
ES023,13.5,13.5,13.5
ES024,13.5,13.5,12.0
ES025,13.5,15.0,12.5
ES026,12.5,11.0,11.0
ES027,17.0,15.5,14.5
ES028,17.5,17.5,17.5
ES029,16.5,15.0,11.5
ES030,11.5,13.0,11.0
ES031,14.5,16.5,17.0
ES032,10.5,11.5,12.5
ES033,12.0,14.5,13.0
ES034,15.0,15.5,18.0
ES035,18.0,20.0,18.0
ES036,11.0,12.0,12.0
ES037,13.0,15.0,12.0
ES038,15.5,15.0,14.5
ES039,12.0,14.0,13.5
ES040,16.0,13.5,14.5
ES041,12.5,10.0,13.0
ES042,12.5,13.5,13.0
ES043,13.0,12.0,12.0
ES044,14.0,12.0,11.5
ES045,12.5,13.5,14.5
ES046,17.5,19.5,19.0
ES047,15.0,15.5,11.5
ES048,15.0,12.0,11.0
ES049,14.5,13.5,14.5
ES050,10.5,11.0,12.5
ES051,15.5,16.5,15.5
ES052,12.0,12.5,8.5
ES053,14.5,12.5,13.0
ES054,15.0,17.5,15.0
ES055,10.0,13.0,12.5
ES056,10.0,14.0,11.5
ES057,14.0,12.5,11.0
ES058,9.0,11.5,11.5
ES059,13.5,15.0,12.5
ES060,10.0,8.5,11.0
ES061,17.0,17.0,15.0
ES062,13.0,15.0,11.0
ES063,13.0,16.5,14.0
ES064,18.0,16.5,16.5
ES065,10.5,12.0,10.5
ES066,13.0,12.5,12.0
ES067,17.5,20.0,17.5
ES068,15.0,15.5,13.0
ES069,12.0,12.5,12.5
ES070,18.0,17.5,17.0
ES071,17.0,16.0,15.5
ES072,14.0,13.5,15.5
ES073,7.0,8.5,6.0
ES074,13.5,12.5,13.5
ES075,14.5,14.5,12.5
ES076,16.5,15.5,16.5
ES077,10.5,11.0,11.0
ES078,15.0,12.5,13.0
ES079,10.0,10.5,10.5
ES080,11.5,11.0,11.5
ES081,13.0,12.5,10.0
ES082,11.0,11.0,8.5
ES083,11.5,10.5,11.5
ES084,18.0,19.5,16.0
ES085,12.0,11.5,11.5
ES086,10.5,13.0,11.5
ES087,12.5,14.5,14.0
ES088,11.0,10.0,11.0
ES089,14.0,13.5,13.0
ES090,15.5,15.0,15.5
