participant_id,programme,sample_role,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
S001,Masters,Development,2.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0
S002,Doctoral,Development,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
S003,Doctoral,Validation,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0
S004,Doctoral,Development,3.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0
S005,Doctoral,Development,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,2.0
S006,Doctoral,Development,3.0,4.0,4.0,,3.0,2.0,4.0,3.0,3.0,5.0,,3.0
S007,Doctoral,Validation,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
S008,Masters,Development,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0
S009,Masters,Validation,2.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0
S010,Masters,Development,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,5.0
S011,Doctoral,Development,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0
S012,Doctoral,Development,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0
S013,Masters,Validation,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,5.0,5.0
S014,Masters,Development,3.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0
S015,Masters,Development,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0
S016,Masters,Development,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0
S017,Masters,Development,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0
S018,Doctoral,Development,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0
S019,Masters,Development,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
S020,Masters,Validation,1.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0
S021,Masters,Development,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0
S022,Masters,Development,3.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
S023,Masters,Development,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0
S024,Masters,Validation,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0
S025,Masters,Development,3.0,3.0,2.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0
S026,Masters,Development,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0
S027,Masters,Development,,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,3.0
S028,Masters,Development,3.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0
S029,Masters,Development,2.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0
S030,Doctoral,Validation,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
S031,Masters,Validation,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0
S032,Masters,Development,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0
