participant_id,site,programme,intervention,time_label,time,research_score,prior_score,attendance_rate,self_efficacy_baseline
1,Site_B,Masters,Control,Baseline,0,39.12130355958131,79.35746023250934,75.81197413098118,3.553173545248496
1,Site_B,Masters,Control,Post,1,46.21354870762752,79.35746023250934,75.81197413098118,3.553173545248496
1,Site_B,Masters,Control,FollowUp,2,39.1759367744676,79.35746023250934,75.81197413098118,3.553173545248496
2,Site_B,Doctoral,Blended,Baseline,0,37.82334694743638,68.71995441999469,83.76232593486496,2.611028553050641
2,Site_B,Doctoral,Blended,Post,1,45.417616464750196,68.71995441999469,83.76232593486496,2.611028553050641
2,Site_B,Doctoral,Blended,FollowUp,2,53.473125826184905,68.71995441999469,83.76232593486496,2.611028553050641
3,Site_C,Doctoral,Workshop,Baseline,0,62.3306733206885,86.47561699018077,75.71233614863007,3.70397732679408
3,Site_C,Doctoral,Workshop,Post,1,60.526384015433926,86.47561699018077,75.71233614863007,3.70397732679408
3,Site_C,Doctoral,Workshop,FollowUp,2,62.20353982357332,86.47561699018077,75.71233614863007,3.70397732679408
4,Site_A,Masters,Control,Baseline,0,44.252854551855506,68.97025515112028,76.83722078238426,3.231581692706825
4,Site_A,Masters,Control,Post,1,45.692748458906365,68.97025515112028,76.83722078238426,3.231581692706825
4,Site_A,Masters,Control,FollowUp,2,,68.97025515112028,76.83722078238426,3.231581692706825
5,Site_A,Masters,Blended,Baseline,0,38.9088174347563,66.44018477050756,76.09324198951845,2.5855719631003513
5,Site_A,Masters,Blended,Post,1,38.90644502978327,66.44018477050756,76.09324198951845,2.5855719631003513
5,Site_A,Masters,Blended,FollowUp,2,54.760141127034814,66.44018477050756,76.09324198951845,2.5855719631003513
6,Site_C,Doctoral,Blended,Baseline,0,40.79253069308795,70.25252852059204,82.03329245278428,3.6992051453243775
6,Site_C,Doctoral,Blended,Post,1,46.919333645346335,70.25252852059204,82.03329245278428,3.6992051453243775
6,Site_C,Doctoral,Blended,FollowUp,2,53.11623529283979,70.25252852059204,82.03329245278428,3.6992051453243775
7,Site_C,Masters,Workshop,Baseline,0,51.12794864861175,70.80835339435724,77.30763654850907,2.8283840691840183
7,Site_C,Masters,Workshop,Post,1,58.55450664441299,70.80835339435724,77.30763654850907,2.8283840691840183
7,Site_C,Masters,Workshop,FollowUp,2,53.099520577309626,70.80835339435724,77.30763654850907,2.8283840691840183
