target_difference,n_per_group,power
1.0,40,0.06566290224376511
1.0,60,0.07379306498773787
1.0,80,0.08198407314480409
1.0,100,0.09023142471601307
1.0,120,0.09853038650831103
1.0,160,0.11526441979559432
1.0,200,0.13214976903975134
1.5,40,0.08559531345910078
1.5,60,0.10427668772941674
1.5,80,0.12317790698494631
1.5,100,0.14224918699587727
1.5,120,0.16144316210242893
1.5,160,0.20002424352618922
1.5,200,0.23860008027182705
2.0,40,0.1140300314430638
2.0,60,0.14790759323099875
2.0,80,0.18212954161605469
2.0,100,0.2164587216617598
2.0,120,0.2506853790728574
2.0,160,0.3181222900937002
2.0,200,0.3832573576059183
2.5,40,0.15122536577924997
2.5,60,0.20478799969654563
2.5,80,0.25827129286256095
2.5,100,0.31097087030793036
2.5,120,0.3623251199101918
2.5,160,0.45936532978506467
2.5,200,0.547128067076806
3.0,40,0.19718311936446217
3.0,60,0.2741094061966979
3.0,80,0.34905424955616726
3.0,100,0.42053825462684924
3.0,120,0.4875699645007164
3.0,160,0.6061827645122587
3.0,200,0.7033333029230002
3.5,40,0.2514918930568761
3.5,60,0.35386410219509107
3.5,80,0.44973536625588684
3.5,100,0.5368484820268098
3.5,120,0.6141631342375554
3.5,160,0.73920746849192
3.5,200,0.8288574727751442
4.0,40,0.3132195230460421
4.0,60,0.4408241593687797
4.0,80,0.5538757587206223
4.0,100,0.6501170169077696
4.0,120,0.7295995879664345
4.0,160,0.8443375398438805
4.0,200,0.9139230734993307
4.5,40,0.3808816209303764
4.5,60,0.5308249380651969
4.5,80,0.6544379284763915
4.5,100,0.7513713937403123
4.5,120,0.8245991733715253
4.5,160,0.9168194992671562
4.5,200,0.9625415016605428
5.0,40,0.45249972640433256
5.0,60,0.6192995445236917
5.0,80,0.7451247783208604
5.0,100,0.8344738759404031
5.0,120,0.8951647740668028
5.0,160,0.9604163098411936
5.0,200,0.9859764964899477
5.5,40,0.5257451417551428
5.5,60,0.7019326317874197
5.5,80,0.8215087974411722
5.5,100,0.89709720978723
5.5,120,0.9424765990650253
5.5,160,0.9832934085964399
5.5,200,0.995503020583545
6.0,40,0.5981469011410997
6.0,60,0.7752658885125877
6.0,80,0.8816024991810981
6.0,100,0.9404272037724145
6.0,120,0.9711087800141295
6.0,160,0.9937662378255464
6.0,200,0.9987688588259712
6.5,40,0.6673288612138342
6.5,60,0.8371073986148087
6.5,80,0.9257626908386445
6.5,100,0.9679551422420477
6.5,120,0.9867491435041038
6.5,160,0.997948752773251
6.5,200,0.9997129799299264
7.0,40,0.7312350980287562
7.0,60,0.8866638402480406
7.0,80,0.9560744555706112
7.0,100,0.9840131518251418
7.0,120,0.9944607592688225
7.0,160,0.9994059344216504
7.0,200,0.9999431312787884
7.5,40,0.78830617347939
7.5,60,0.9244006356123865
7.5,80,0.9755088416314475
7.5,100,0.9926140198127453
7.5,120,0.9978927642075733
7.5,160,0.9998488121569071
7.5,200,0.9999904387855935
8.0,40,0.8375803536114914
8.0,60,0.9517078084150189
8.0,80,0.9871476940035955
8.0,100,0.9968438663532131
8.0,120,0.999271407274319
8.0,160,0.9999662311266532
8.0,200,0.9999986376460871
