parameter,estimate,standard_error,t_value,p_value,ci_low,ci_high
Intercept,8.26230528276416,6.1385034710937605,1.345980387837425,0.1794903455766627,-3.825644261915306,20.350254827443628
"C(instructional_format, Treatment(reference='Face-to-face'))[T.Hybrid]",2.038101246111431,1.1455512630228006,1.7791445148717586,0.07639333822619845,-0.217719889035068,4.29392238125793
"C(instructional_format, Treatment(reference='Face-to-face'))[T.Online]",-0.8529172198823769,1.4246871557740968,-0.5986698317771725,0.5499183247632223,-3.6584131419823662,1.9525787022176124
"C(employment_status, Treatment(reference='Not employed'))[T.Part-time]",-2.2019089674872356,1.1667153290837426,-1.8872718242387905,0.060246277770370386,-4.4994064108592875,0.09558847588481623
"C(employment_status, Treatment(reference='Not employed'))[T.Full-time]",-2.9319222369294113,1.512121438122185,-1.938946279718376,0.05359826832190805,-5.909593869033623,0.045749395174800256
prior_score,0.4174943663353849,0.05176076296446951,8.06584645249469,2.7484477274499054e-14,0.31556700015322703,0.5194217325175428
study_hours,1.4512988589095666,0.2635584026729877,5.506555071629713,8.835621034812952e-08,0.9322992870123257,1.9702984308068074
online_engagement,0.15514444399432187,0.053239137857371915,2.914105115863354,0.003880054892709172,0.05030585992368716,0.25998302806495655
attendance_rate,0.13565125765366629,0.0589390589239633,2.3015511297638573,0.022157730740840757,0.019588381117275996,0.25171413419005656
academic_self_efficacy,-0.009665346475079328,0.08133851751845625,-0.11882865301652686,0.9055035756498698,-0.16983726792663406,0.1505065749764754
