project_id,completion_days,task_complexity,team_size,digital_support,prior_experience_years,predicted_mean,deviance_residual,pearson_residual,leverage,cooks_distance
G001,95.35,3,4,0,3.69,55.669366522792814,0.5910446199044745,0.71279118042345,0.013254296764099715,0.008839498291520191
G002,67.12,4,7,1,11.35,44.767248696836006,0.43429280307246204,0.49931036536412865,0.038207922396646096,0.013161002599328177
G003,108.48,4,3,1,1.81,63.40059067634999,0.5898006820806752,0.711025068422048,0.027850259363275683,0.019040989756619112
G004,75.73,2,7,1,5.26,34.83720639123553,0.8914447413938202,1.173825281784145,0.01903846555653935,0.03484108600578779
G005,46.15,2,4,0,0.73,49.06433824726926,-0.06061686350275217,-0.05939829928168785,0.013358942095567792,6.188116747003589e-05
G006,56.09,1,3,0,6.17,42.07143392934003,0.3020599165859677,0.3332086587351523,0.023859204054286206,0.00355320578114257
G007,17.41,2,3,0,2.7,51.106434089785324,-0.9138131701003023,-0.6593383923164433,0.00426540044367706,0.002390265384691858
G008,77.97,3,5,0,3.65,52.36132850431541,0.42642753584507737,0.4890760457610243,0.010223876884225982,0.0031904447544376974
G009,21.04,2,8,1,2.5,33.72679329948346,-0.4375009668423477,-0.37616363900441624,0.007707896748313531,0.0014156869325820723
G010,28.1,2,6,1,6.62,36.52284841779178,-0.25119659898317165,-0.23061860678119128,0.00704240364371012,0.00048551759772886595
G011,84.99,4,2,1,3.74,66.0674143915217,0.2628891011818807,0.2864132913744934,0.024106000510920732,0.002653768173869315
G012,53.07,5,4,1,0.72,70.6027131742594,-0.27249809901007416,-0.24832917016922157,0.01623380506375368,0.001322052770214222
G013,25.94,2,9,1,3.09,31.51124457608499,-0.18844882483727518,-0.17680179412250846,0.012914064676042985,0.0005295209461006426
G014,27.17,3,3,0,1.33,60.713360420913595,-0.709313835606719,-0.5524872974970283,0.005948195870779619,0.0023483812233812975
G015,66.95,3,4,0,0.94,57.31811651942677,0.15945682187844443,0.1680425677858536,0.014034000528686842,0.0005210183370673683
G016,56.23,4,6,1,1.29,52.9810016541787,0.06011331492813362,0.06132383768484387,0.012629120786968493,6.226269548387345e-05
G017,36.48,2,5,0,3.47,44.807056203720876,-0.19879108199238027,-0.18584251921976036,0.0073089639900414515,0.0003273969044148317
G018,26.5,2,9,1,4.34,31.095955475699572,-0.15578118473031607,-0.14779913996503996,0.012807854875475156,0.0003669218788510725
G019,90.43,3,3,1,6.89,51.30787557168775,0.6257246076119988,0.7624974527282956,0.024155194999026356,0.018848752519957334
G020,70.52,2,3,1,1.02,46.63874141031008,0.4440334737835175,0.5120476639708519,0.023552086757035566,0.008277682920424221
G021,19.61,3,4,1,2.78,50.389302306804524,-0.815976913504128,-0.6108300948363818,0.0035087046790288207,0.0016849903907351187
G022,82.09,1,2,1,1.77,42.03256607320861,0.7531772353622163,0.9530094797691601,0.0431836398562881,0.054753675867302815
G023,68.75,3,4,0,4.07,55.44529998523005,0.22307415328091013,0.23996082658609763,0.009386537180329915,0.0007039380333463352
G024,26.82,1,9,1,4.33,26.561712789067602,0.00969270059631273,0.009724042006760386,0.02028699030375534,2.5542905873913437e-06
G025,45.53,2,4,0,2.24,48.28429243916887,-0.058165470944002186,-0.05704323911630011,0.010433115092956783,4.4308681509353904e-05
G026,54.76,5,5,0,6.4,69.71446044530204,-0.23211030696087948,-0.21451016546323712,0.01062968713006556,0.0006386387513916598
G027,66.01,4,7,1,2.08,49.395661541732395,0.304658930352958,0.33635218032723035,0.015041381570876216,0.0022418008674085516
G028,50.16,5,7,1,2.84,57.3693124634209,-0.1313520162855469,-0.12566496187343384,0.013623639942894865,0.0002826135845199161
G029,11.62,1,4,0,2.33,41.199989954601534,-1.0466605608597426,-0.7179610962817192,0.004523850631435537,0.003007496576387933
G030,44.65,2,6,1,15.0,33.41477447563509,0.3045623372424569,0.33623526421096295,0.0638412943856103,0.01052557966106781
G031,47.5,5,6,1,6.7,58.570328929113,-0.20243201650053735,-0.18900916439296928,0.012393122198126041,0.0005801429562973398
G032,42.8,3,7,0,4.84,45.70309114575541,-0.06491778099154052,-0.0635206738313811,0.008338187371941138,4.3725163598299315e-05
G033,26.13,1,4,0,8.91,38.42092183415896,-0.36226033953970527,-0.3199017943195587,0.015053393535880387,0.0020295472662883616
G034,32.85,2,4,0,3.29,47.7491983810823,-0.35208010090317443,-0.3120303352984706,0.006767520271390248,0.0008536466767338856
G035,36.23,5,7,0,5.0,62.545479833767864,-0.500529622044311,-0.4207415132749581,0.008229158797142944,0.001892867785728909
G036,42.83,4,5,1,3.44,55.08078496598814,-0.24144264546615804,-0.22241485798637187,0.007083809250729296,0.0004542825390527829
G037,33.67,5,3,0,6.79,78.54259140399193,-0.7425879315509318,-0.5713153920932545,0.007748997346165076,0.0032833036379922875
G038,26.84,1,7,0,8.53,32.05895312806647,-0.17257349600813515,-0.1627923752599851,0.01919892753694988,0.0006759895840118939
G039,62.89,4,5,0,6.48,59.49222369317269,0.05606049774778126,0.05711294848131956,0.009603825725133967,4.08180547860879e-05
G040,44.13,3,3,0,7.62,56.79258605901546,-0.24209093770882417,-0.22296195573586414,0.010382786949977026,0.0006735933185660772
G041,30.62,2,6,1,5.56,36.936056055158815,-0.18185197620180021,-0.17099974197912932,0.006484991353336446,0.000245532070524967
G042,34.52,3,9,0,1.83,41.70994710116916,-0.18341809793365266,-0.17237967441506585,0.01632150235486758,0.0006405937053846549
G043,21.0,1,9,1,5.84,26.13942333287115,-0.21121752240249028,-0.19661578862790607,0.016763746513931414,0.0008567396702471589
G044,48.22,2,2,0,7.77,51.51056569972582,-0.06529470635088579,-0.06388137375364396,0.01805825399344084,9.768088424839247e-05
G045,50.45,3,5,1,11.27,43.292754437326515,0.1570003757234254,0.1653220187926549,0.027181762940344925,0.00100330365032967
G046,18.47,2,7,1,3.54,35.47899856683269,-0.5888680720720494,-0.47941033439239866,0.0045387522774438666,0.0013454244821054868
G047,44.25,2,7,0,2.86,39.863745991043494,0.10623626960207894,0.1100311548729515,0.013631824532188296,0.00021680236015389777
G048,69.27,5,6,0,5.42,66.22927628388206,0.04522767628451267,0.04591207826406441,0.013413255390207563,3.712567209688597e-05
G049,35.08,2,4,1,0.56,44.063309627393465,-0.21965201085523045,-0.20387278448572743,0.011019430997812133,0.0005984928137857016
G050,46.57,4,9,0,4.23,47.60704137022405,-0.021943573478218317,-0.021783361040215214,0.017126653134029512,1.075186849301998e-05
G051,53.08,5,5,1,7.02,62.085856354964115,-0.15272929646045424,-0.1450548785777366,0.014156200446368603,0.00039169853173728387
G052,80.63,4,5,1,3.66,54.95232480001095,0.4095535668853816,0.46727186326398934,0.013156769560560909,0.003770066200197134
G053,29.03,4,4,1,7.07,56.37133012230097,-0.59767718967411,-0.48502190853013966,0.006764106782373507,0.002061508526438859
G054,33.31,3,9,1,2.28,37.21285826354956,-0.10878794638730212,-0.10487929295590974,0.013558202759319316,0.0001958824257965558
G055,25.43,2,7,1,4.33,35.18276679346189,-0.3079735448329504,-0.27720295139705364,0.006126170235885497,0.0006090865783708114
G056,71.3,5,9,0,4.14,55.793030780260544,0.25569523001732003,0.2779373875710976,0.027601090344647257,0.0028819605625166906
G057,76.51,2,2,0,5.52,52.7554450012597,0.39628872617298067,0.4502768386878945,0.022588965391436306,0.006127140797749468
G058,71.7,3,5,0,0.77,53.986540715501604,0.2978349391170155,0.328108803596897,0.015472973637510769,0.0021963980331376554
G059,22.16,2,5,0,3.18,44.94517905550771,-0.6327712624650966,-0.5069549067179775,0.004540978630237502,0.0015052135714605092
G060,76.75,5,8,0,0.99,61.36055920867015,0.23245364242437566,0.25080346381777013,0.028070472321049682,0.002388933204571597
G061,61.33,4,7,0,4.16,53.89814709939874,0.13201487943326914,0.13788698314425288,0.01135446778939551,0.0002822857043201586
G062,34.61,1,3,1,3.6,38.75795483908357,-0.11109759266620607,-0.107022025705566,0.014436940085974265,0.00021757522069688938
G063,55.73,3,5,1,10.55,43.62484820878058,0.25530865419397664,0.2774829549729633,0.0255254444170772,0.002645219436852788
G064,25.7,1,8,1,9.0,26.885650242553872,-0.044765210052093905,-0.044099742124788115,0.022697333409377945,5.906708635084358e-05
G065,39.82,1,9,1,6.24,26.028687784820477,0.4575597626319356,0.5298504607374944,0.03265171619675991,0.012519981689479437
G066,50.5,1,7,1,2.1,30.769104156180603,0.5399898000509901,0.6412567536470197,0.024438241010246053,0.013495254856434708
G067,65.11,3,4,0,5.75,54.46544784228687,0.18398454474586023,0.1954367875306208,0.009629302406370716,0.00047925722758281573
G068,33.42,4,7,0,0.92,55.7837921529965,-0.4720753925937749,-0.40090125267317805,0.00899926703640524,0.001882308455265939
G069,35.73,2,7,1,9.52,33.29719241589147,0.07135621182110968,0.07306344492118315,0.019214584270431878,0.00013628249109925577
G070,67.65,5,2,0,3.15,86.8306692494966,-0.23964613507698648,-0.22089740198112995,0.016532221373853826,0.001065979703925965
G071,22.03,3,7,1,0.22,43.02969025428167,-0.6024238825777845,-0.4880279204936199,0.006905759235172928,0.002131457234890352
G072,66.58,4,7,1,0.24,50.369768641937554,0.29261424633557936,0.3218246141509156,0.02074450804076284,0.0028635607542471745
G073,89.54,2,2,0,5.82,52.58773848613001,0.5839106249210796,0.7026782778197648,0.027009788876990685,0.01800421054299601
G074,39.01,5,5,1,1.22,66.02778601668552,-0.4838791259750128,-0.40918812588775894,0.010853024205820398,0.0023737334005541617
G075,61.45,4,6,0,2.07,58.61345349503444,0.04763477925347473,0.048394120049689016,0.01112573665768012,3.405560517364815e-05
G076,16.2,3,9,1,2.42,37.157605875187016,-0.7295724344310949,-0.5640192736201559,0.006508294146012991,0.0026809168865471284
G077,45.22,2,4,0,5.59,46.59771787790394,-0.029862727388384903,-0.0295662092618754,0.00959356482541373,1.0927005944110009e-05
G078,39.14,1,3,0,1.63,44.14826389572121,-0.11803999115626564,-0.11344192169256742,0.016929944516308047,0.00028813135941959067
G079,23.84,1,7,1,3.78,30.22533989389134,-0.22828913177541346,-0.21125783585255375,0.010488342062963089,0.0006110087709072644
G080,57.67,4,7,0,2.67,54.75726185187493,0.05227867988692831,0.053193641347596674,0.011976145481578486,4.4366832419885966e-05
G081,70.06,3,7,1,3.99,41.34196179020577,0.5782252638953701,0.6946462375328728,0.012162408294112734,0.0076865708605651705
G082,27.29,1,8,1,4.68,28.14704513282902,-0.030763501490897623,-0.03044884920546832,0.015517265518440612,1.8971319112213594e-05
G083,81.69,3,5,0,2.19,53.179012062966635,0.46230844370856533,0.5361323355024895,0.013141373950917358,0.0049571455699496435
G084,26.6,1,5,1,4.52,33.92659596433879,-0.2338105351153319,-0.21595434956221307,0.009340709503232096,0.0005672988753055497
G085,28.87,1,3,1,2.06,39.39664200293971,-0.29557118613641437,-0.2671964276080745,0.012862804010004537,0.0012044775028893769
G086,51.71,2,3,1,1.95,46.180661966595814,0.1152623973035433,0.11973275821389832,0.015439843927298615,0.00029183753377966856
G087,50.78,4,4,0,6.36,63.358270833456366,-0.21343276719261992,-0.19852610666284792,0.0080770013486296,0.00041351023733426136
G088,47.03,3,4,1,7.25,48.05456852227132,-0.021474379416099205,-0.02132093896122428,0.010959085498812655,6.509014399277606e-06
G089,41.82,1,2,0,1.17,47.18716792386273,-0.11836543555665643,-0.11374210744164058,0.0206515977111022,0.00035602339614334086
G090,51.45,5,7,1,6.01,55.47126870359065,-0.07432258471662542,-0.07249282011338518,0.013985381603010365,9.661718558848336e-05
G091,72.64,5,7,1,5.31,55.88491867978372,0.2742000145015582,0.2998140055677919,0.018945232294371676,0.0022613825768626056
G092,63.85,4,5,0,12.06,56.071244242461106,0.13278837594311022,0.13872985810520452,0.031241023297224113,0.0008188237565138911
G093,39.92,3,5,1,8.08,44.78359470109056,-0.11280319583634207,-0.1086021507106065,0.010078856222448591,0.00015503997150151817
G094,51.91,4,6,1,1.18,53.042891441600446,-0.02151200387033278,-0.02135802575634001,0.011895787939881315,7.103407071909332e-06
G095,61.8,4,6,0,1.76,58.806617521170885,0.050063231993633675,0.050902136613306635,0.01179379236297759,3.999328937930912e-05
G096,33.55,1,8,1,3.08,28.62910177414815,0.16291936670117463,0.1718844784119416,0.019339630223130698,0.0007593482846498568
G097,29.52,3,6,1,0.7,45.53504198026624,-0.4042427680846572,-0.35170807544674637,0.007115411605559386,0.0011411006371793964
G098,45.51,4,9,1,3.03,43.22449827971674,0.051970948651001325,0.052875147456731435,0.016731774652243528,6.18383593751556e-05
G099,21.67,3,5,1,3.94,46.79522479996818,-0.6825449232890358,-0.5369185618269594,0.0030052546872300374,0.0011139588803442857
G100,57.5,4,4,1,7.45,56.14443821482542,0.02395256417680265,0.02414418646398766,0.014236746109023972,1.0915595210664218e-05
G101,26.49,2,8,1,1.27,34.16996353277733,-0.24422105901890276,-0.22475773277926894,0.01129073275900917,0.0007457117438427967
G102,50.1,4,8,0,8.91,48.182526312253735,0.03928005650327468,0.039796038823697304,0.019761815759147677,4.1629393603669965e-05
G103,24.3,5,6,0,11.62,62.01149786770644,-0.8108098175287204,-0.6081371868836175,0.011482141985968768,0.005554101022587704
G104,53.57,1,4,1,7.15,35.09197157813172,0.4550673811163542,0.5265599962295433,0.02518943680201631,0.009393566342228208
G105,81.84,4,3,1,8.68,58.942326203678924,0.3471864973790867,0.3884759097765623,0.028481833445534607,0.005820376177668895
G106,40.87,2,5,1,1.59,40.97693951425555,-0.0026120224160971323,-0.0026097486909276695,0.010011374440602232,8.891754250505992e-08
G107,48.07,5,3,1,5.52,71.36522629938612,-0.37075542343655915,-0.32642265018063155,0.013693351700671763,0.0019169164910554756
G108,43.98,2,6,0,4.14,41.82810329579574,0.05058952149243605,0.05144619369868841,0.009785107649167608,3.3757476713256776e-05
G109,28.15,1,4,0,4.4,40.30471147203428,-0.3386754504980366,-0.3015704871245119,0.010225286321397967,0.00121321346804279
G110,106.14,5,7,0,7.16,61.12794504047991,0.6075659780422746,0.7363580589812464,0.028014085237291757,0.02054903208551191
G111,25.24,2,4,0,8.47,45.194938979591704,-0.5310832036789699,-0.44153038880310447,0.008515011046104167,0.0021581961199489716
G112,40.72,1,6,1,3.45,32.261329768985554,0.24224845629861042,0.26219223731894004,0.015228703107042375,0.0013797124856011092
G113,71.69,4,6,0,5.72,56.38626012871034,0.2501330485132277,0.27140902475809725,0.010883913352114954,0.0010473597825414605
G114,56.88,4,7,1,11.17,44.852853950423935,0.2473465693785915,0.2681467284750649,0.031229520100849745,0.003057914242971063
G115,27.35,1,7,0,7.61,32.37351912839423,-0.16401546914959989,-0.1551737118374687,0.017374334880843334,0.0005537644325463721
G116,20.91,1,7,0,0.58,34.881362069576724,-0.47156265950993,-0.40053946407564306,0.01339034346166178,0.0028206447835082546
G117,28.07,4,8,1,3.78,45.61030389226729,-0.4491400098547074,-0.3845688889444354,0.0071196662200526195,0.0013651201925986489
G118,64.48,4,2,1,2.96,66.61661801287798,-0.03242281061257617,-0.03207334861197749,0.018665097485697293,2.5482448798596557e-05
G119,77.26,5,5,0,1.06,73.77965879313966,0.04645012535244406,0.047172096805413274,0.018165133164940443,5.3590625477186694e-05
G120,65.02,1,6,0,3.13,36.11018081060598,0.6518898083838076,0.8006002335192646,0.02775846780804478,0.02405666142113416
G121,15.87,1,8,1,3.85,28.396090104690305,-0.5304727853217518,-0.4411202407975638,0.008962251310174862,0.0022693813125415027
G122,77.89,3,4,0,1.87,56.75514569011179,0.33417158809323827,0.37238657487175564,0.013679129805691028,0.002492107863171845
G123,18.27,3,8,1,2.99,39.2835209675802,-0.6791542646661655,-0.5349194891395347,0.0048044068887592205,0.0017740118396562235
G124,41.45,2,9,0,1.75,35.654509159879346,0.154489772722326,0.16254580350925432,0.026051604452255454,0.0009274081005867661
G125,39.22,1,5,1,1.65,34.97591113507389,0.11675570385380588,0.12134319670860917,0.015874872690008215,0.0003084588625927192
G126,51.02,1,5,1,6.25,33.309350322949406,0.45896073932042947,0.5317020447813523,0.02050685813677671,0.00772306638713191
G127,31.01,2,8,1,4.04,33.180024111469876,-0.06688430749058315,-0.06540152304228518,0.01037966049678819,5.79399914115082e-05
G128,32.13,5,8,1,8.59,50.7441586810587,-0.4246943962062576,-0.36682367320451437,0.013866832246241065,0.0024523227054583027
G129,23.89,2,8,0,7.99,35.49296631848878,-0.37139114399892764,-0.32690889271896767,0.012644312516286817,0.0017715695428432365
G130,71.29,3,3,1,1.82,54.14436792999588,0.2883158037271449,0.3166651071109,0.01770627956935749,0.002351807571204805
G131,43.71,1,5,1,2.1,34.809264146522764,0.23667215722286994,0.2557002014179713,0.016849436861237486,0.0014566802943429523
G132,64.89,3,6,1,4.52,43.72583752048534,0.4225286936763698,0.484019602131105,0.009010301415259598,0.0027471585122307396
G133,52.08,1,7,1,1.39,31.0018399283475,0.5677426371566134,0.6799002936718934,0.02715689993683674,0.01695281499718647
G134,68.95,3,2,1,2.31,57.29077753967619,0.19114205613495033,0.20350958672622876,0.02061217017066245,0.0011374723197353975
G135,9.79,2,4,1,9.13,40.232334810681216,-1.145989681591091,-0.7566633891354257,0.004272848426915913,0.0031535448318952995
G136,75.79,2,4,0,3.59,47.597406435046494,0.504233211672939,0.592313650606706,0.015334246550400365,0.0070916131568649066
G137,22.36,1,2,1,5.27,40.49983765077831,-0.540602063983202,-0.44789902140335386,0.011477305239511628,0.0030115054208752668
G138,61.85,4,8,1,5.5,44.785242945027605,0.3411798819565293,0.38103526815560246,0.016045411360214323,0.003075302735709692
G139,35.94,2,3,0,4.27,50.261905136398994,-0.31765083624641965,-0.28494552877637075,0.008250677532064488,0.00087049496000142
G140,25.52,1,4,0,1.29,41.6572698466449,-0.45305982153567015,-0.387381840097824,0.010960939181962153,0.002149097776983231
G141,29.82,1,7,1,0.63,31.252916612647677,-0.04656912402728104,-0.04584905243908637,0.017106354054503944,4.75731501023438e-05
G142,118.64,4,2,0,8.34,70.18702781943023,0.5751706763710109,0.6903408462490315,0.034695239473989184,0.02267905288340545
G143,28.39,2,9,0,5.72,34.18341592951917,-0.18012957339695482,-0.16948031002706937,0.01650947271412532,0.0006265967224659373
G144,30.83,4,6,0,0.23,59.76934005338775,-0.596357077801669,-0.484183697319366,0.007858540478546864,0.0023920585299322594
G145,65.9,2,7,0,2.82,39.88067310397383,0.5480563177294687,0.6524294820248041,0.02037278338523446,0.0115492190134439
G146,64.8,4,4,1,7.67,56.01349738207896,0.14933926058959368,0.15686402436160332,0.016649236055576215,0.0005414780749410656
G147,120.01,5,7,0,4.88,62.625188651406134,0.7292654821689047,0.9163215725866783,0.02720503345810832,0.030850288946421927
G148,75.98,1,2,1,3.77,41.14975588505126,0.6828972887248955,0.8464265064474356,0.037463239746590854,0.03702592965129158
G149,44.13,3,8,1,4.44,38.683600691154695,0.13468055818302865,0.14079349418190715,0.010855451810741608,0.000281093196432704
G150,45.66,1,5,0,2.73,38.571220964027205,0.1735968652199878,0.183784149394286,0.01774516236589555,0.000793970760323643
G151,71.65,5,5,1,4.32,63.89072868070904,0.11685095116239937,0.12144596687991409,0.01618003111282433,0.0003151164378410812
G152,16.3,1,7,0,5.94,32.952432330569266,-0.6301624825252287,-0.5053475920538091,0.008807992250662621,0.002926163044418953
G153,105.01,4,3,0,4.79,68.52198645217761,0.45956478093588365,0.5325008137831475,0.01757628369759303,0.00659973820413523
G154,36.04,3,4,0,2.41,56.43080033396369,-0.4172385396326866,-0.36134168243740455,0.005786562691808125,0.0009769094467441423
G155,48.65,2,6,0,1.59,42.97559906788213,0.12663665687981474,0.13203773897729423,0.01388635834480816,0.00031819061897789426
G156,33.58,4,5,0,11.52,56.39352299051817,-0.477246505258212,-0.40454154627569494,0.014703228005916127,0.0031678281327701535
G157,64.88,5,3,1,3.52,72.89626694597575,-0.11427930031681562,-0.10996814078170428,0.01803147591664066,0.00028901919425670014
G158,16.01,2,3,1,6.73,43.896268286035614,-0.864105631014114,-0.635276513810329,0.005214954898559137,0.0027181563864177973
G159,56.91,5,9,1,2.13,51.09427864673757,0.10977060228968077,0.11382333809763583,0.024939022442600607,0.00043434546253053204
G160,72.04,4,6,1,1.43,52.90233726192747,0.3255167556602975,0.3617545788821971,0.015777315954267224,0.0027241513642103483
G161,46.36,3,5,0,6.42,50.84436629893494,-0.0909330303171596,-0.08819789930254042,0.007134158475386719,7.195067537042214e-05
G162,24.99,4,8,1,3.38,45.80434678985868,-0.5504264847130682,-0.4544185923085161,0.00646964765707372,0.0017297658295018763
G163,26.77,3,3,1,15.0,47.07631312812065,-0.5160218397388031,-0.4313488414620737,0.02962138252025773,0.007480608717855387
G164,35.49,3,7,0,9.38,43.55311873750961,-0.1979765900396007,-0.1851329817757767,0.013756112500795907,0.0006195144502824072
G165,37.5,1,6,1,0.7,33.216807991038664,0.12378696248227855,0.12894652641267848,0.01837391538711431,0.00040521508595153734
G166,48.61,4,4,1,7.57,56.072978042274414,-0.1395043435682687,-0.13309401966572817,0.012279239315101772,0.00028495544606487393
G167,45.13,2,6,0,6.49,40.79775527092201,0.10264657123069272,0.10618831110459978,0.011801933490622071,0.00017417080909415308
G168,94.72,5,2,0,1.77,88.1117873037376,0.07320113038540048,0.07499805529403994,0.025068859467050418,0.00018960224452256296
G169,23.11,1,4,1,2.48,36.87510758599153,-0.4335466385104836,-0.37328996407377946,0.00893917107253515,0.0016208619724858927
G170,48.62,4,9,1,2.58,43.43143263028583,0.11501464450047358,0.11946571999782585,0.01844811628384688,0.0003492761204390792
G171,81.38,5,6,1,7.93,57.810696092200104,0.3626079082316633,0.407697978073298,0.02484686589861889,0.005550854818134758
G172,94.82,5,6,1,11.16,55.86246469649,0.5801643942141962,0.6973830373431018,0.049207547040189724,0.0338345031329589
G173,45.46,1,3,0,9.55,40.58894945669396,0.11551890635476596,0.12000927859695326,0.029694572529660106,0.000580559299067356
G174,49.06,1,6,1,7.39,30.940087769544107,0.4993070987787192,0.5856451463687262,0.024415347516934905,0.011244984648525145
G175,64.38,4,6,1,3.55,51.72530977256009,0.2271386723677025,0.2446518016631218,0.010632603564461877,0.0008309560385567625
G176,23.4,2,4,0,2.22,48.294542691700094,-0.646698290462248,-0.5154732047183972,0.005375939173174155,0.0018454632141366673
G177,79.16,5,7,0,2.17,64.45257990066283,0.2128305356265345,0.2281897811073645,0.02050827011913611,0.001422579822906
G178,62.12,2,6,1,3.96,37.568636528224474,0.5488323542148434,0.653506907372873,0.012113772327358809,0.006775208877935629
G179,56.12,4,3,1,1.66,63.50160498870318,-0.12107944490298427,-0.11624280976860908,0.014633733330740811,0.00026028475549071405
G180,60.55,4,9,0,2.26,48.61290270343958,0.22791931790164122,0.24555409433956335,0.02455197732087793,0.001988517181039034
G181,18.18,1,8,0,5.92,30.987723200077372,-0.48980193217474643,-0.4133160451118717,0.012498979649408513,0.002798470699682451
G182,37.1,1,7,1,7.42,29.079923949582994,0.25387132924004896,0.275794258070335,0.02134014147571961,0.0021660125213066187
G183,32.58,2,3,1,2.82,45.75621005028274,-0.3214449096499395,-0.2879655031700188,0.00902368675848351,0.0009738569578808646
G184,76.56,4,2,1,7.37,63.570477986632554,0.19186999757926806,0.20433261515036671,0.02636440704740646,0.0014840799239696388
G185,25.66,3,6,1,5.96,43.06264633032462,-0.4766521729957817,-0.4041239406615314,0.004119766121465634,0.0008670502625709429
G186,20.32,1,8,0,1.2,32.579593489248154,-0.43768437015375233,-0.37629669913757635,0.015241550726942636,0.0028443780648545547
G187,44.32,2,8,1,1.53,34.07580246100352,0.2748860244808147,0.30062967851512756,0.018218831425845964,0.002183290906760724
G188,118.45,5,4,0,8.87,72.23170128245225,0.5389801267374434,0.6398616936463587,0.032809927434396896,0.01835314986674411
G189,59.33,2,9,1,1.36,32.095170055890655,0.6843321162509848,0.8485647496705113,0.03407014202211202,0.0336054344899665
G190,30.56,5,4,0,4.41,75.73304411483448,-0.78872718064339,-0.5964773322242047,0.0055811582868210766,0.0025664352851921812
G191,35.8,1,2,0,13.13,41.56200004246164,-0.14561689965644414,-0.13863625515073674,0.04146246471167545,0.001108529572110023
G192,45.5,3,8,1,3.64,39.013449192479534,0.15785177164178563,0.166264479090735,0.01140651218593948,0.00041235675117092945
G193,50.28,3,9,0,6.46,39.709871777655366,0.24566776138217764,0.26618389204400345,0.02255142429722368,0.0021375016601565917
