group,n,observed_events,expected_events,observed_nonevents,expected_nonevents
"(0.132, 0.363]",43,12,12.392182654700216,31,30.607817345299786
"(0.363, 0.45]",43,20,17.69933941568481,23,25.30066058431519
"(0.45, 0.506]",43,15,20.664115970806066,28,22.335884029193934
"(0.506, 0.562]",43,21,22.996642284384805,22,20.003357715615195
"(0.562, 0.603]",43,28,25.01503678176,15,17.98496321824
"(0.603, 0.666]",43,29,27.293640257386517,14,15.706359742613483
"(0.666, 0.719]",43,30,29.6868297130072,13,13.3131702869928
"(0.719, 0.774]",43,34,32.13839126629715,9,10.861608733702852
"(0.774, 0.83]",43,37,34.567186086283336,6,8.432813913716664
"(0.83, 0.957]",43,34,37.54663556969103,9,5.453364430308973
