student_id,completed,prior_score,study_hours,self_efficacy,instructional_format,employment_status,predicted_probability,deviance_residual,pearson_residual,standardised_residual,leverage,cooks_distance
B001,1,74.5,5.6,50.6,Face-to-face,Full-time,0.598875759536739,1.012621464819978,0.8184103000896891,0.8269331056492153,0.020506822748617873,0.0017895660545987672
B002,0,53.2,2.5,31.4,Face-to-face,Full-time,0.25727034386201114,-0.771262802076039,-0.58854473775491,-0.5946893278363586,0.02055811496866425,0.0009278866381173346
B003,0,71.9,11.5,45.0,Hybrid,Part-time,0.8989958452426011,-2.141305035147995,-2.9833844583856624,-3.0003010870969993,0.011244830182142944,0.012796871989677014
B004,1,74.4,2.9,35.9,Hybrid,Full-time,0.5298788429475031,1.127037618521034,0.9419256174628309,0.9546043122214815,0.026386844840994832,0.0030871506757714127
B005,1,86.6,12.8,54.1,Hybrid,Part-time,0.9507500230716466,0.3178178972524439,0.22759873472310208,0.2286431941592032,0.009115284231483453,6.011372718022432e-05
B006,0,56.9,5.4,43.8,Face-to-face,Part-time,0.49799814144869275,-1.1740114624685916,-0.9960042657793837,-1.0039878949850705,0.015840602588619426,0.002028024610116729
B007,1,78.0,12.0,47.7,Hybrid,Part-time,0.923065206657023,0.40013847738580605,0.2886989505149702,0.29017081038794523,0.010119053301457969,0.00010759061172877724
B008,0,69.0,6.1,36.5,Face-to-face,Not employed,0.5940291939310524,-1.3427390127645065,-1.2096409834654678,-1.2208373651010866,0.018258026121206278,0.0034648313752117074
B009,0,54.7,7.7,40.7,Online,Not employed,0.46410490414227845,-1.116975249277888,-0.9306110123653091,-0.9387572026456404,0.017279964262413756,0.001936999937633924
B010,1,68.9,6.4,47.4,Hybrid,Part-time,0.7412442832767716,0.7738540443444247,0.5908323934457975,0.5945100225231776,0.01233370023190594,0.0005517108532308729
B011,1,68.3,3.7,41.5,Online,Part-time,0.3396774803979375,1.469529651711901,1.3942629169487568,1.4077363360100839,0.01905036020312749,0.004810709517215586
B012,1,66.8,6.4,33.3,Face-to-face,Part-time,0.5793487527665779,1.0448451046508975,0.8521009554934502,0.8607160908651825,0.019918344449678604,0.0018820052693855008
B013,1,70.0,6.2,35.7,Face-to-face,Full-time,0.5539391890745061,1.0869225963915,0.8973585174160581,0.9074364450053719,0.022088522572489853,0.002324928350453628
B014,0,75.3,1.5,44.6,Hybrid,Full-time,0.4897305993150151,-1.1600141862015312,-0.9796678531266639,-0.9935057563261877,0.02766271555384963,0.0035101741237630523
B015,0,55.3,7.8,36.0,Face-to-face,Full-time,0.5462851288728536,-1.257208268668017,-1.0972818156312636,-1.1131977971780382,0.028390645321249835,0.00452624716888239
B016,0,47.8,5.0,26.9,Hybrid,Part-time,0.485566992103323,-1.1529873723120965,-0.9715388344046093,-0.9887818665050248,0.03457321575338078,0.0043765453430100664
B017,1,56.9,5.8,31.2,Hybrid,Not employed,0.6055920223894014,1.0015475525552282,0.8070171659555222,0.8166536551833258,0.02346070215099584,0.002002797840786799
B018,1,59.8,8.2,38.2,Face-to-face,Part-time,0.6433323931679208,0.9392483666734776,0.7445847276721546,0.750400679006426,0.01544085271727968,0.0011038903039351736
B019,0,58.8,2.6,35.3,Online,Full-time,0.19793440379434726,-0.6641760063118667,-0.49677038744447305,-0.5012788465954106,0.017906938755016123,0.0005727135721472684
B020,0,52.3,1.0,38.0,Online,Full-time,0.13336701219203917,-0.5350508473357181,-0.39228942670670586,-0.39551395922937477,0.016239063219575994,0.0003227788307662036
B021,1,61.2,6.5,45.0,Online,Part-time,0.44952266686995906,1.2645702823409115,1.1066082983138874,1.1160192986072532,0.016794190689346504,0.002659304487497536
B022,0,64.1,5.9,55.0,Hybrid,Full-time,0.6789215987057758,-1.5073618974102219,-1.4541334562404178,-1.476071752702232,0.029504346409252244,0.008279752507119965
B023,1,65.7,5.4,46.4,Face-to-face,Part-time,0.5625967932241229,1.0725596327143758,0.8817436793207829,0.8882018618200476,0.01448928179656676,0.0014498359971270914
B024,1,68.5,10.2,48.7,Online,Not employed,0.7003457649666721,0.8440155400695698,0.6541147713990577,0.6594594939542916,0.01614371743146134,0.0008919862240549986
B025,1,61.4,5.7,46.0,Face-to-face,Full-time,0.5064644938009981,1.1664485062226346,0.9871535215059299,0.9966039334708872,0.01887531111870055,0.0023884993162110618
B026,1,68.6,6.4,44.3,Face-to-face,Part-time,0.6251922479117643,0.9692224511277749,0.7742790173344873,0.7788531940725621,0.01171143621216935,0.000898561095018647
B027,1,67.3,7.8,46.9,Online,Not employed,0.5700706168363718,1.0601839808642228,0.8684288355334512,0.8746493323482365,0.014173398484892314,0.0013748376457084035
B028,1,48.1,3.8,40.4,Hybrid,Full-time,0.4250248331063246,1.3081343057395325,1.1631008985370832,1.1790931187455103,0.02694234660902673,0.004811750152304911
B029,1,67.1,3.5,39.2,Face-to-face,Full-time,0.4042738047172207,1.3458550413255497,1.2139073689564421,1.224145390470479,0.01665685994865891,0.003172956060138241
B030,0,64.4,5.3,43.5,Face-to-face,Part-time,0.5395988328982482,-1.2455176170285396,-1.0825981806111311,-1.089630591287821,0.012866227056674995,0.0019343888876083152
B031,1,71.8,7.9,55.0,Hybrid,Not employed,0.8282543826854597,0.6138972981133338,0.45536637700904725,0.45865916635645365,0.014306787483173083,0.0003816721996043833
B032,1,47.3,4.8,33.3,Hybrid,Not employed,0.4993301183417439,1.1785481255865164,1.0013406620030088,1.014409827779556,0.02560104804655291,0.0033795419810220386
B033,1,77.9,12.2,45.0,Face-to-face,Not employed,0.8831883368089689,0.49843115703633134,0.36367750687711353,0.3660114869690893,0.012712925790169596,0.00021562618784586214
B034,1,56.2,7.9,31.3,Hybrid,Not employed,0.7027568689782882,0.8399336816876345,0.6503593136190347,0.6578400992679718,0.02261416075960148,0.0012515987802574073
B035,0,47.2,2.5,37.8,Hybrid,Part-time,0.386368887666022,-0.9882927963195027,-0.7935008352828257,-0.8045484933638272,0.027274446997241172,0.002268715791026963
B036,1,65.6,7.2,43.8,Online,Not employed,0.5173799606641513,1.1480224220970456,0.9658237343182376,0.9725156487127681,0.013714721720238056,0.0016439464200223915
B037,0,70.8,8.1,37.4,Online,Not employed,0.5769282895992663,-1.3116505526778137,-1.1677608856499213,-1.1804768104180834,0.021427676696521722,0.0038142318623115338
B038,1,50.3,7.6,35.4,Face-to-face,Full-time,0.5017542866073298,1.174431562952154,0.9964975602895507,1.0131938007514312,0.032686092751252435,0.004336013620637859
B039,0,67.3,8.0,36.4,Online,Not employed,0.5463630283560232,-1.2573448395237465,-1.097454264685298,-1.109183508547737,0.02103750616759127,0.003304798794818618
B040,0,55.7,8.3,40.1,Hybrid,Not employed,0.7406596972520129,-1.642932846761181,-1.6899519239590755,-1.7016544897694443,0.013707042902106201,0.005030262176908643
B041,1,73.4,9.9,55.0,Hybrid,Part-time,0.8823878681952501,0.5002470585277107,0.3650869393635423,0.3675022624810113,0.013101339984114346,0.00022411617657820524
B042,0,73.8,6.8,50.1,Face-to-face,Not employed,0.6969478130359058,-1.5452185956028643,-1.516496521977626,-1.528266508248233,0.015343741123551993,0.004549407310920616
B043,1,62.4,7.4,36.6,Face-to-face,Not employed,0.6202127341982598,0.9774382232350859,0.7825279527276887,0.7883799958527294,0.014790643280336042,0.0011663791302148722
B044,0,63.9,4.1,44.2,Online,Part-time,0.3415673005497717,-0.9142132856515846,-0.7202486422689609,-0.7266954958171405,0.01766422681246417,0.0011869970031185644
B045,0,54.7,5.1,45.7,Face-to-face,Part-time,0.4742099246625322,-1.1338899789848738,-0.9496840135464386,-0.9593591834999469,0.020068360026686743,0.0023560721772025238
B046,0,61.3,4.8,40.0,Hybrid,Full-time,0.5606949124238503,-1.2826232080934157,-1.1297443845025297,-1.1391193045654056,0.016392211703043662,0.002703111948132491
B047,1,67.0,2.9,35.8,Online,Part-time,0.280062726690942,1.5954570987690468,1.6033180175133737,1.6214274019263064,0.022212840887166244,0.007465601523068577
B048,0,69.0,9.2,42.1,Face-to-face,Not employed,0.7533179469237659,-1.673113867052289,-1.7475128579598163,-1.7576733257228117,0.01152785405282574,0.004503709508738647
B049,0,64.2,9.6,50.5,Face-to-face,Not employed,0.7667286366984992,-1.706196268740335,-1.8129679570156618,-1.8260738124823535,0.01430262519634256,0.006048098114012267
B050,1,69.6,6.9,35.0,Face-to-face,Not employed,0.6334242328081642,0.9556305638770006,0.7607369990691168,0.7684501576795467,0.01997383674445435,0.0015044066586260175
B051,0,74.0,7.1,45.8,Online,Full-time,0.5223155748955415,-1.2155697948237538,-1.0456731277592126,-1.058323756825285,0.023764031753888797,0.0034081007318944694
B052,0,70.0,6.5,53.2,Hybrid,Part-time,0.7647052633512442,-1.7011268924936633,-1.8027725367642093,-1.8188007876309344,0.01754741496832518,0.007385532729522724
