,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
q1,1.0,0.5688441002753875,0.6285116660418721,0.5491069466835811,0.5164872619713797,0.512484227917021,0.5755239465696126,0.5002998574518166,0.4627913194570054,0.2692338286719394,0.6117791046988031,0.3076646883665202
q2,0.5688441002753875,1.0,0.5479120756456117,0.5076182052759721,0.480210464808594,0.5607773675795501,0.572075265414919,0.5116289313519705,0.3792459661147681,0.2528555728717887,0.5239890121968821,0.27525020641235687
q3,0.6285116660418721,0.5479120756456117,1.0,0.5552370908845514,0.5297151158184812,0.5283884066832776,0.5309278450313133,0.4750464944274262,0.4486264651873641,0.27929941422855975,0.9105654575224359,0.3073060295439008
q4,0.5491069466835811,0.5076182052759721,0.5552370908845514,1.0,0.5160084243730209,0.516384624705421,0.5295197969033578,0.5226763142861516,0.4624615280585373,0.23803748701515678,0.5577662924295275,0.19945180388509207
q5,0.5164872619713797,0.480210464808594,0.5297151158184812,0.5160084243730209,1.0,0.5151575442665846,0.47572029856032216,0.4875792232100902,0.41710527519157503,0.2872262289144647,0.5094860726098243,0.20114137907205024
q6,0.512484227917021,0.5607773675795501,0.5283884066832776,0.516384624705421,0.5151575442665846,1.0,0.5077991227837795,0.45343206593428187,0.41775307456544425,0.2072620258494034,0.5262150325371977,0.21628078118165886
q7,0.5755239465696126,0.572075265414919,0.5309278450313133,0.5295197969033578,0.47572029856032216,0.5077991227837795,1.0,0.5354866810077602,0.37963032772109234,0.21884656604448768,0.5370011236391204,0.3066585923435041
q8,0.5002998574518166,0.5116289313519705,0.4750464944274262,0.5226763142861516,0.4875792232100902,0.45343206593428187,0.5354866810077602,1.0,0.46431171985203973,0.2974842166562362,0.4782546332886595,0.24442330704418117
q9,0.4627913194570054,0.3792459661147681,0.4486264651873641,0.4624615280585373,0.41710527519157503,0.41775307456544425,0.37963032772109234,0.46431171985203973,1.0,0.26424311232723374,0.42700695995729665,0.19350794084162837
q10,0.2692338286719394,0.2528555728717887,0.27929941422855975,0.23803748701515678,0.2872262289144647,0.2072620258494034,0.21884656604448768,0.2974842166562362,0.26424311232723374,1.0,0.2617223912277197,0.3674358230747156
q11,0.6117791046988031,0.5239890121968821,0.9105654575224359,0.5577662924295275,0.5094860726098243,0.5262150325371977,0.5370011236391204,0.4782546332886595,0.42700695995729665,0.2617223912277197,1.0,0.2917136728172927
q12,0.3076646883665202,0.27525020641235687,0.3073060295439008,0.19945180388509207,0.20114137907205024,0.21628078118165886,0.3066585923435041,0.24442330704418117,0.19350794084162837,0.3674358230747156,0.2917136728172927,1.0
