item,n_observed,mean,sd,minimum,maximum,floor_percent,ceiling_percent,corrected_item_total_correlation,alpha_if_deleted
q1,357,2.9859943977591037,1.2166101967166985,1.0,5.0,12.777777777777777,12.777777777777777,0.7387499777880921,0.8934861596216326
q2,357,3.0672268907563027,1.1855716805035175,1.0,5.0,11.11111111111111,13.055555555555557,0.6936707549414309,0.895734100851916
q3,357,3.008403361344538,1.2575332438208193,1.0,5.0,13.88888888888889,13.88888888888889,0.7646148998035444,0.8919789136794913
q4,357,2.9495798319327733,1.2396679024465187,1.0,5.0,13.055555555555557,14.166666666666666,0.6898280139370981,0.8958168485786165
q5,357,2.907563025210084,1.2223912601071425,1.0,5.0,14.166666666666666,11.38888888888889,0.6548521193032366,0.897580582495631
q6,357,2.8907563025210083,1.171692686775193,1.0,5.0,13.333333333333334,9.166666666666666,0.6568740927590604,0.8975392744626829
q7,357,3.1484593837535013,1.2145323840759792,1.0,5.0,10.555555555555555,16.11111111111111,0.6898774941997607,0.8958771848975472
q8,357,2.9607843137254903,1.2218182485796478,1.0,5.0,13.055555555555557,12.777777777777777,0.6662870935546426,0.8970160441335168
q9,357,2.9747899159663866,1.1572598268601217,1.0,5.0,10.555555555555555,11.666666666666666,0.5553885191056517,0.9022362021191094
q10,357,3.022408963585434,1.1536711411584761,1.0,5.0,9.722222222222223,10.555555555555555,0.37311983424889006,0.9100780538870353
q11,357,3.0028011204481793,1.2281771443795348,1.0,5.0,12.222222222222221,13.055555555555557,0.7499990253502169,0.8929077247028961
q12,357,2.9971988795518207,1.2120615723962376,1.0,5.0,13.333333333333334,12.222222222222221,0.3708834084554003,0.9108870348681642
