item,draft_one_factor_loading,draft_uniqueness,final_one_factor_loading,final_uniqueness
q1,0.7695928832700532,0.404394713467882,0.774444641903,0.3975015341559457
q2,0.7137014468853378,0.4871971721189571,0.7394238302369834,0.45027851783144734
q3,0.8514647893724331,0.2728770080523649,0.7582267581440135,0.42224624973337865
q4,0.7195058316195161,0.47894939498727995,0.7417842093521138,0.44671393667656434
q5,0.6806239352501046,0.5334212781178496,0.7002531184229078,0.5065578523365413
q6,0.6855774671154446,0.5266324371614579,0.7146081319322319,0.4862438149497623
q7,0.710088809475866,0.49229925088844007,0.7419828567685993,0.446495544312718
q8,0.6705962355014535,0.5468356884508954,0.7011504589558024,0.5052566467321495
q9,0.5678853682599979,0.6742603396112935,0.5880548721884126,0.6511426944001368
q10,0.355074421063985,0.8707934167736433,,
q11,0.8419207552154017,0.28904430741339515,,
q12,0.36739549404682714,0.8619372728316137,,
