,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
q1,1.0,0.5975331974326658,0.6145228955054549,0.5880959956575132,0.5374454086571082,0.48345069948824276,0.6376398401198509,0.532153885402549,0.4607396442580505,0.34419015658439917,0.6058684246118283,0.3815868313648999
q2,0.5975331974326658,1.0,0.5647684036424918,0.5488189308825391,0.48586850931164194,0.5490401825815556,0.5693270353146757,0.566130054197601,0.43601769082741054,0.3163348503219792,0.5268333536563764,0.3229820123164288
q3,0.6145228955054549,0.5647684036424918,1.0,0.5867375637198518,0.5283400507747181,0.5266233572357599,0.5599109653396853,0.4947073379919184,0.37201415038283414,0.25613061127105397,0.9093994365428201,0.2674434281988971
q4,0.5880959956575132,0.5488189308825391,0.5867375637198518,1.0,0.5269019262630632,0.48289356243363035,0.5577335859163626,0.5392241226741593,0.45067643836054583,0.26707270053553805,0.576059954888204,0.24809461314887077
q5,0.5374454086571082,0.48586850931164194,0.5283400507747181,0.5269019262630632,1.0,0.5219811649600303,0.5332070841738861,0.5134532633706199,0.45031394993338714,0.3539774080747116,0.4850433539247167,0.20239268253821238
q6,0.48345069948824276,0.5490401825815556,0.5266233572357599,0.48289356243363035,0.5219811649600303,1.0,0.49144292758189123,0.47378005895416386,0.4258417109719625,0.18973282158338786,0.5147160857959638,0.23117597190805222
q7,0.6376398401198509,0.5693270353146757,0.5599109653396853,0.5577335859163626,0.5332070841738861,0.49144292758189123,1.0,0.5426416230234707,0.4403085619165195,0.22478468421576311,0.5805443366241886,0.306497161275856
q8,0.532153885402549,0.566130054197601,0.4947073379919184,0.5392241226741593,0.5134532633706199,0.47378005895416386,0.5426416230234707,1.0,0.488714093439527,0.3296020695360986,0.49042667048742555,0.27963183161343275
q9,0.4607396442580505,0.43601769082741054,0.37201415038283414,0.45067643836054583,0.45031394993338714,0.4258417109719625,0.4403085619165195,0.488714093439527,1.0,0.2610189231963774,0.38617230273455494,0.17855620324786303
q10,0.34419015658439917,0.3163348503219792,0.25613061127105397,0.26707270053553805,0.3539774080747116,0.18973282158338786,0.22478468421576311,0.3296020695360986,0.2610189231963774,1.0,0.20287923252049586,0.3457220255756238
q11,0.6058684246118283,0.5268333536563764,0.9093994365428201,0.576059954888204,0.4850433539247167,0.5147160857959638,0.5805443366241886,0.49042667048742555,0.38617230273455494,0.20287923252049586,1.0,0.2696589129933642
q12,0.3815868313648999,0.3229820123164288,0.2674434281988971,0.24809461314887077,0.20239268253821238,0.23117597190805222,0.306497161275856,0.27963183161343275,0.17855620324786303,0.3457220255756238,0.2696589129933642,1.0
