components_partialled,average_squared_partial,average_fourth_power_partial
0,0.2196612936341509,0.06472555403637989
1,0.02677844336749349,0.0054086608038199455
2,0.040751861471657505,0.0097115226946716
3,0.05617611147929448,0.015068659842744638
4,0.06718279853277356,0.014547434441792767
5,0.09550691967181024,0.026801474533511872
6,0.11239140946840143,0.04069046573133093
7,0.16449574304679784,0.07434905246632044
8,0.24266614541154002,0.13514358838254437
9,0.34695630263153415,0.23978318336258556
10,0.6789727687263788,0.6325948108723444
11,0.9999999999648107,0.9999999999296214
