component,observed_eigenvalue,random_mean_eigenvalue,random_95th_percentile,retain_by_95th_percentile
1,6.088798895157799,1.4195223354150384,1.5214835300634024,True
2,1.0959330911350038,1.3038538464851066,1.382424365041235,False
3,0.8712595615015585,1.2180189252441944,1.283907123371841,False
4,0.6813957684409915,1.1451072719951545,1.2010179945868429,False
5,0.5736573960859492,1.076918471085312,1.124903122523106,False
6,0.5340154640004028,1.0149434163365378,1.0621022458942133,False
7,0.4992722960575835,0.9552162513384437,1.001629780598577,False
8,0.44458244658896784,0.895944356498983,0.940315690038595,False
9,0.4372529387763632,0.838326819003874,0.8828975748657273,False
10,0.35781269030099283,0.7793626090347807,0.828345637985013,False
11,0.33133484450259887,0.7128201887145418,0.767693363889286,False
12,0.08468460745178574,0.639965508848027,0.7025081538224283,False
