item,general_factor_structure,redundancy_factor_structure
q1,0.7830849236872104,0.6173896851949833
q2,0.7536684880335965,0.5545223661150532
q3,0.698022943786823,0.923107895948032
q4,0.7215880935115756,0.5967191894896842
q5,0.7056502077972406,0.509728489434522
q6,0.6529759116458094,0.5370269493099025
q7,0.7374722754244496,0.5940574695955815
q8,0.7361751405674489,0.48939576060570245
q9,0.6113587116322797,0.3837613101728132
q10,0.4377416056854808,0.1997018255642403
q11,0.6732412028430808,0.9740923338893723
q12,0.4068501602683157,0.25116344666348783
