participant_id,programme,sample_role,efa_factor_score
S001,Masters,Development,-0.33442501705284006
S002,Doctoral,Development,0.5594551925038841
S004,Doctoral,Development,-0.39274811860680137
S005,Doctoral,Development,1.2718757747358365
S008,Masters,Development,1.2954261515064125
S010,Masters,Development,-1.8413768340902996
S011,Doctoral,Development,-1.4202474262646074
S012,Doctoral,Development,-0.8006388355678973
S014,Masters,Development,-0.5229759025187041
S015,Masters,Development,0.13161367727501658
S016,Masters,Development,0.16100802102665301
S017,Masters,Development,0.6808365518945755
S018,Doctoral,Development,1.335422467743869
S019,Masters,Development,-0.8353113250292988
S021,Masters,Development,-1.9351150808720996
S022,Masters,Development,-0.33442753440564366
S023,Masters,Development,0.027951944436555232
S025,Masters,Development,0.13999094800263898
S026,Masters,Development,0.5430456763126416
S028,Masters,Development,0.17499862210560949
S029,Masters,Development,-0.3882645781535422
S032,Masters,Development,-1.1064690867954854
S035,Masters,Development,0.2885289294541057
S036,Masters,Development,-0.4863880558132441
S037,Masters,Development,0.17515233330195357
S038,Doctoral,Development,-1.5603768225757044
S039,Masters,Development,1.2097104149121465
S042,Doctoral,Development,1.8572193470960134
S043,Masters,Development,1.8311757633942751
S045,Masters,Development,-0.6620109556739676
S046,Doctoral,Development,-1.6556816454046117
S047,Masters,Development,1.3036049752722083
S048,Masters,Development,1.6119135892919827
S051,Doctoral,Development,1.1087128625159897
S052,Doctoral,Development,0.9197890088944319
S053,Masters,Development,1.2792547028834582
S054,Doctoral,Development,0.717281171150534
S055,Doctoral,Development,-1.3279642549842678
S056,Masters,Development,-1.619579920569179
S057,Masters,Development,-0.12854069539331692
S060,Masters,Development,-0.6191736185520716
S063,Doctoral,Development,-0.0018949767188853768
S064,Masters,Development,0.9279678326602276
S065,Masters,Development,-0.8017183312420251
S066,Doctoral,Development,1.0925891009264848
S067,Doctoral,Development,-0.5404866672041387
S068,Masters,Development,-0.046640916274739375
S069,Masters,Development,-1.0618828263919564
S072,Doctoral,Development,0.10938074290945393
S073,Masters,Development,0.977854875623135
S074,Masters,Development,-1.0074560598779834
S078,Doctoral,Development,-0.5675682140923395
S079,Masters,Development,-0.47170115666943135
S080,Doctoral,Development,-1.970523196581448
S081,Doctoral,Development,-0.16535646189987163
S082,Masters,Development,1.4401626439836703
S083,Doctoral,Development,0.7698069617953802
S085,Masters,Development,-0.08750189836354769
S087,Doctoral,Development,-0.6659006386479505
S088,Masters,Development,1.4061974452328492
S089,Masters,Development,-0.7240597962092602
S091,Masters,Development,0.3380360597719425
S092,Doctoral,Development,-0.38484471327075803
S093,Doctoral,Development,-1.8192778688767568
S095,Masters,Development,-0.8824097652691757
S098,Doctoral,Development,0.7378513654584977
S100,Masters,Development,0.3716842814968002
S101,Masters,Development,-0.2295633247247576
S102,Masters,Development,0.8613719566913958
S104,Masters,Development,0.018019963781388003
S105,Masters,Development,0.522093851007239
S106,Doctoral,Development,0.38124405718841997
S108,Doctoral,Development,-0.412473976051914
S109,Masters,Development,0.9699065923869155
S111,Masters,Development,0.3874280394651281
S113,Masters,Development,1.218484454055522
S114,Masters,Development,0.10049201676143837
S116,Masters,Development,-1.0770936386819017
S117,Masters,Development,0.30508887629674286
S119,Doctoral,Development,-1.52177861026416
S120,Masters,Development,0.13792023929994987
S122,Masters,Development,-0.6102458682123518
S129,Doctoral,Development,0.9144590146865683
S130,Masters,Development,0.29013182393532166
S132,Masters,Development,0.10064227916959384
S136,Masters,Development,0.33815526799911155
S137,Masters,Development,-1.0079481589937134
S138,Masters,Development,-1.0483185920759213
S140,Doctoral,Development,-0.7149074916425091
S143,Masters,Development,-0.6083962433211022
S150,Masters,Development,-0.340265320089473
S152,Masters,Development,-0.7891221701445537
S154,Masters,Development,0.7278315796431973
S158,Masters,Development,1.4055602127334068
S159,Masters,Development,0.1785866429613798
S162,Doctoral,Development,1.162667188744431
S163,Masters,Development,-1.6898334249976974
S167,Doctoral,Development,-0.10979748368682701
S168,Masters,Development,-0.8089000644925562
S169,Masters,Development,1.8371032799848637
S172,Doctoral,Development,-1.7248219110392438
S175,Masters,Development,0.7150849878943312
S176,Masters,Development,0.22643305305419958
S179,Masters,Development,-0.3540332926880241
S180,Masters,Development,-0.2863196567027767
S186,Doctoral,Development,-0.3972360838129259
S187,Masters,Development,-1.414955598970346
S191,Masters,Development,-0.005485599956573054
S192,Masters,Development,-1.0565795264797748
S193,Masters,Development,1.6350805968673185
S195,Masters,Development,-0.9262472875035728
S197,Doctoral,Development,-0.5683999270836455
S198,Doctoral,Development,0.4283711283424356
S199,Masters,Development,-0.9889618862617804
S200,Doctoral,Development,1.4220856566068691
S201,Masters,Development,1.529814504467626
S205,Masters,Development,1.701182080580698
S206,Masters,Development,-0.029156159959973612
S209,Masters,Development,0.8917952864215112
S210,Doctoral,Development,1.3618315054486132
S212,Masters,Development,0.7328012429255052
S213,Doctoral,Development,-0.3259592920936826
S216,Masters,Development,0.7903030325277071
S217,Doctoral,Development,-1.2608652919159828
S219,Doctoral,Development,-0.7960679805687123
S220,Doctoral,Development,0.795612309685591
S222,Masters,Development,-0.5047708289167496
S223,Doctoral,Development,-0.1834179251596762
S225,Masters,Development,-0.1642898846180939
S228,Masters,Development,1.7990153765020886
S229,Masters,Development,-1.3047955092111303
S230,Masters,Development,0.10916071681096588
S232,Doctoral,Development,-1.2417409153188277
S235,Doctoral,Development,-0.07172518753517422
S236,Masters,Development,0.2493195131753402
S237,Masters,Development,0.3265089933090523
S238,Masters,Development,-1.4639761335494008
S239,Masters,Development,-1.8642216583480966
S240,Masters,Development,1.2997689833288244
S242,Doctoral,Development,-1.676226193113981
S245,Masters,Development,-0.5398371079185237
S246,Doctoral,Development,-1.5179010858331106
S247,Masters,Development,0.6326093749884331
S248,Doctoral,Development,-0.02822797896678908
S249,Masters,Development,1.2570341893900243
S251,Masters,Development,1.7347750743679715
S256,Masters,Development,1.2258660677991866
S257,Masters,Development,0.6532090466168066
S261,Masters,Development,1.3131112750894676
S263,Masters,Development,1.2628719750738537
S265,Masters,Development,-1.0477737802779767
S266,Masters,Development,-0.7444140991319377
S267,Masters,Development,-0.6299588913352066
S270,Masters,Development,1.1926877690070565
S271,Masters,Development,0.3801721826389601
S274,Masters,Development,1.784883007613483
S275,Masters,Development,0.4291170706008153
S277,Doctoral,Development,-0.09140506939319153
S278,Masters,Development,-1.576075767511417
S279,Masters,Development,1.7686029324457169
S281,Doctoral,Development,-1.1118853363704724
S284,Doctoral,Development,-0.10806514818213446
S285,Masters,Development,-1.6714098792559426
S286,Doctoral,Development,1.0591309304594836
S287,Doctoral,Development,0.09553084807763675
S289,Masters,Development,1.1166621133120032
S290,Masters,Development,-0.4605593851484073
S291,Doctoral,Development,0.17509519348316585
S293,Masters,Development,-0.6482182006609382
S294,Masters,Development,1.9367804119565932
S296,Doctoral,Development,0.8794645513993193
S297,Doctoral,Development,0.5090615046566349
S298,Masters,Development,-0.591253414183188
S299,Masters,Development,-1.3714547264575339
S301,Masters,Development,1.0153164524417637
S305,Masters,Development,-0.8610379317050736
S307,Masters,Development,-0.8493590659270428
S309,Masters,Development,-1.0227897443395255
S312,Masters,Development,-0.5339500661026494
S314,Doctoral,Development,-0.5243472982835118
S317,Masters,Development,1.231931876659789
S318,Masters,Development,1.0087360960206107
S319,Masters,Development,1.1363593406989436
S320,Masters,Development,-0.3501973007446403
S321,Masters,Development,-0.29265222115138606
S323,Masters,Development,-0.5985298970832289
S324,Masters,Development,-1.622904840491647
S327,Masters,Development,0.07358559406043816
S328,Doctoral,Development,-0.8811728944542764
S329,Masters,Development,0.5297363575735966
S331,Masters,Development,1.8554783487495754
S333,Masters,Development,-1.8138494607588362
S337,Doctoral,Development,1.179195149970697
S340,Doctoral,Development,-0.056758420059219716
S341,Doctoral,Development,1.0617622412558678
S343,Masters,Development,0.6717674156788336
S344,Masters,Development,1.3229118889745322
S345,Doctoral,Development,-0.3650456231855716
S346,Doctoral,Development,0.5086815010354581
S347,Masters,Development,0.19398171766827102
S348,Doctoral,Development,-1.610215388561569
S349,Masters,Development,-1.2835197623903878
S350,Doctoral,Development,-0.20266026215765737
S351,Masters,Development,-0.09578953707894713
S352,Masters,Development,-0.3337306447346099
S356,Masters,Development,-1.6761777161369382
