indicator_1,indicator_2,standardised_residual,absolute_standardised_residual
prep2,eff2,-0.07023896474997568,0.07023896474997568
prep2,perf2,0.06471431656911586,0.06471431656911586
prep3,eff1,0.05083993480229965,0.05083993480229965
prep3,eff3,0.0422781356625207,0.0422781356625207
prep3,perf1,-0.039829407879108714,0.039829407879108714
prep3,perf3,-0.037678248841521156,0.037678248841521156
prep1,eff2,-0.03628852014590628,0.03628852014590628
prep3,perf2,-0.03563844670861743,0.03563844670861743
prep1,eff3,-0.035331668107665304,0.035331668107665304
eff3,perf2,0.03275349791906701,0.03275349791906701
eff2,perf2,-0.03170449472343062,0.03170449472343062
prep2,perf1,0.029506937118428223,0.029506937118428223
prep1,perf2,-0.026776755785914763,0.026776755785914763
prep2,perf3,0.026518249947919015,0.026518249947919015
eff2,perf3,-0.02493890042494351,0.02493890042494351
prep1,perf3,-0.023602434990265708,0.023602434990265708
prep1,perf1,0.023568044642085673,0.023568044642085673
eff2,eff3,0.023409004118148613,0.023409004118148613
prep2,eff3,0.02319463329917798,0.02319463329917798
eff2,perf1,-0.017898535380974412,0.017898535380974412
prep1,eff1,0.017601616322251656,0.017601616322251656
eff1,eff3,-0.014853404748897625,0.014853404748897625
eff3,perf3,0.0135323539472334,0.0135323539472334
eff1,perf2,0.009346290377034328,0.009346290377034328
prep3,eff2,-0.009018298485277354,0.009018298485277354
eff1,perf1,0.008819132569720556,0.008819132569720556
prep2,prep3,-0.008290802503181816,0.008290802503181816
perf2,perf3,0.00744820639821564,0.00744820639821564
prep1,prep3,0.006838852523340488,0.006838852523340488
perf1,perf2,-0.004062151054149532,0.004062151054149532
prep2,eff1,0.003192907382597754,0.003192907382597754
prep1,prep2,-0.00246839840942803,0.00246839840942803
eff1,eff2,0.002308082402040945,0.002308082402040945
eff1,perf3,0.001636365716537358,0.001636365716537358
eff3,perf1,-0.0008610935611877979,0.0008610935611877979
perf1,perf3,-0.00013461904391698365,0.00013461904391698365
